signal,view,agg,window,pool,n_obs,ic,t_stat,ls_spread,ls_t_stat,market_base_ic,delta_ic,Q1_mean,Q5_mean,ic_2022,ic_2023,ic_2024,ic_2025,n_2022,n_2023,n_2024,n_2025
S1_ths_global_l1_d30_top3,ths_global_l1,top3_recent_mean,d30,main_profitable,226,-0.293105962614142,-4.588327893676857,-0.36179506289166524,-3.7631443569141982,0.004790091006161007,-0.297896053620303,0.3319794723941329,-0.03690928105465893,-0.41090405522563,0.048144164847842785,-0.4254106380595236,-0.3373364618896169,31,56,55,69
S2_hs_l1_unlock_d90_top3,hs_l1,top3_recent_mean,unlock_d90,main_all,125,0.19941515321013842,2.256951693200026,0.2680230603578122,1.7693007053250174,-0.01294733791942086,0.21236249112955927,-0.07881862674739923,0.189204433610413,nan,0.13779540861828285,0.24824352280603734,0.24919140938131243,0,47,51,25
S3_sw_l1_d1close_top3,sw_l1,top3_recent_mean,d1_close,all,136,0.1529607658247697,1.7917335280193634,0.06109045392566041,0.9051399316622349,-0.008066515068185467,0.16102728089295515,0.06008895132604196,0.11547401832944768,-0.46734516068433896,0.10684009089403557,0.3161769257633155,0.21451648291467137,14,22,22,58
S4_chapter_m12_mean,chapter,mean,m12,all,137,0.21304068291871261,2.533469065983764,0.341366020274095,1.3540952416362135,0.13175958826651266,0.08128109465219996,-0.16405255539924127,0.16736082663475596,nan,0.25050577205619673,0.03470847860137112,0.1886822137660229,0,56,64,17
S5_concept_any_d30_mean,concept_any,mean,d30,main_all,111,-0.22388185919245218,-2.3982722793117635,-0.15991326065154296,-1.4616036970987791,-0.007893122592697616,-0.21598873659975457,0.12076309573117468,-0.03306155719547313,nan,nan,-0.26573426573426573,-0.24491471569328332,0,0,12,60
S6_hs_l3_m12_median,hs_l3,median,m12,main_profitable,32,-0.6203273974417349,-4.331871574046759,-0.7424611578059919,-1.2057587158303693,0.17628253431800944,-0.7966099317597444,0.679772086633784,-0.16677682480213615,nan,nan,-0.5982182958777535,nan,0,0,21,0
S7_sw_l1_d30_top3,sw_l1,top3_recent_mean,d30,all,130,0.24467252782101878,2.854926956802959,0.2559035308949217,1.9468646433024006,0.024490503024947364,0.2201820247960714,0.0990188001640948,0.3549223310590165,0.14064216928154863,0.0816100748415464,0.32931498960362476,0.2519905264828723,14,22,21,57
S8_ths_global_l1_d30_mean,ths_global_l1,mean,d30,main_profitable,226,-0.14123933890574558,-2.1352820424202377,-0.1495563075639307,-1.5791461935737507,0.004790091006161007,-0.1460294299119066,0.14740230542177074,-0.00652869406316681,-0.42584602087019835,-0.07898652045349207,-0.22414729868909228,-0.008170652856388986,31,56,55,69
