view,agg,window,pool,n_obs,ic,t_stat,ls_spread,ls_t_stat
ths_global_l1,top3_recent_mean,d30,main_profitable,226,-0.293105962614142,-4.588327893676857,-0.3617950628916652,-3.763144356914197
ths_global_l1,top3_recent_mean,d30,all,324,-0.23777191370917383,-4.39264092442492,-0.2890687003907769,-3.113236388267772
hs_l3,median,m12,main_profitable,32,-0.6203273974417349,-4.331871574046759,-0.7424611578059919,-1.2057587158303695
ths_global_l1,top3_recent_mean,d30,main_all,270,-0.25572299544644767,-4.330349563156222,-0.3103873379342001,-3.75086739884907
hs_l3,median,m12,main_all,33,-0.5720459035756773,-3.8831174033537956,-0.7424611578059919,-1.2057587158303695
sw_l1,top3_recent_mean,d30,all,130,0.24467252782101878,2.854926956802959,0.2559035308949218,1.9468646433024013
hs_l3,median,m12,all,48,-0.36951075441366615,-2.697021655591717,-0.5537430505476013,-1.3017246260549469
sw_l1,top3_recent_mean,d30,main_all,102,0.2554381499346571,2.6420297840743454,0.23774393816800676,1.533950208270886
chapter,mean,m12,all,137,0.21304068291871261,2.533469065983764,0.34136602027409496,1.3540952416362138
sw_l1,median,m12,all,26,-0.45663524490157453,-2.5145131458137877,-0.4498658794272587,-3.1769433175637216
hs_l1,top3_recent_mean,unlock_d90,all,144,0.2044943205158586,2.4894385031744815,0.25208682358967394,1.7431912222464998
sw_l1,top3_recent_mean,d1_close,main_all,106,0.2324342301307008,2.4371209349950345,0.13229315169273653,2.700740696915137
concept_any,mean,d30,main_all,111,-0.22388185919245218,-2.3982722793117635,-0.159913260651543,-1.4616036970987794
chapter,top3_recent_mean,m12,main_all,127,0.2093841321592015,2.3940536384479545,-0.2994399891573819,-0.4453463027280993
hs_l3,top3_recent_mean,d30,all,179,-0.17077397871371047,-2.3058727571142863,-0.3663508601009138,-2.5541589175520354
hs_l1,top3_recent_mean,unlock_d90,main_all,125,0.19941515321013842,2.256951693200026,0.26802306035781226,1.7693007053250176
chapter,mean,m12,main_profitable,121,0.2016666520611297,2.246070734378003,0.38174782439362087,1.4021384075738812
sw_l1,top3_recent_mean,unlock_d90,main_all,31,0.3838088135388738,2.2382992802843558,0.2443297908859656,1.6006207314611456
hs_l1,top3_recent_mean,d30,all,336,-0.12012655949509916,-2.2114066969028103,-0.13875496597138862,-1.5711957850091707
sw_l1,top3_recent_mean,d1_close,main_profitable,74,0.2468675952199306,2.161645626231098,0.1842951339557617,2.7587837368563384
concept_any,mean,d30,all,145,-0.17755638327763448,-2.1575476014162787,-0.12729369600072732,-1.152223653280639
sw_l3,median,d30,main_all,27,-0.39529567049440006,-2.151728140874506,-0.5194087691599851,-1.7217456191903444
ths_global_l1,mean,d30,main_profitable,226,-0.14123933890574558,-2.1352820424202377,-0.1495563075639307,-1.5791461935737507
ths_global_l1,mean,d30,main_all,270,-0.12907982435649776,-2.13095492564252,-0.09842885247413118,-1.2211806932676763
sw_l1,top3_recent_mean,d30,main_profitable,73,0.24254206617890123,2.10659688435822,0.331132768795098,1.847309634225546
sw_l3,median,d1_close,all,46,-0.30260034438784744,-2.1059560213582755,-0.14052350683997097,-1.9196903060405588
sw_l1,median,unlock_d90,main_all,31,0.3635657326560218,2.101682581029661,0.4060857823348756,1.4329633029125821
sw_l1,median,unlock_d30,all,60,0.2624146902667027,2.071071018585044,0.12518317492184405,1.3759393278439447
sw_l1,mean,d1_close,all,136,0.17417264851084527,2.047489785983912,0.15161851700683598,2.318196166728226
