p05493_f001,p05493_f002,p05493_f003,p05493_f004,p05493_f005,p05493_f006,p05493_f007,p05493_f008,p05493_f009,p05493_f010,p05493_f011,p05493_f012,p05493_f013,p05493_f014,p05493_f015,p05493_f016,p05493_f017,p05493_f018,p05493_f019,p05493_f020,p05493_f021,p05493_f022,p05493_f023,p05493_f024,p05493_f025,p05493_f026,p05493_f027,p05493_f028,p05493_f029,p05493_f030,p05493_f031,jydm_mc
0309.HK,新华通讯频媒,配售,预案,2026/05/07,--,--,--,--,--,--,"集团大部分现有可动用财务资源必须投入集团的主营业务,以应付业务发展及集团的一般营运资金需求。",HKD,--,其他支援服务,综合支持服务,139962,9,--,--,--,--,--,--,--,--,--,--,--,--,--,新华通讯频媒
3919.HK,金力集团,配售,预案,2026/05/06,--,--,--,--,--,--,"认购事项所得款项总额及估计所得款项净额(经扣除相关开支后)将分别约为7.78百万港元及7.70百万港元。公司将动用认购事项所得款项净额如下:(i)3.12百万港元(占约40%)用作开发及扩展新开发技术及专利在医疗保健及医疗器材所用特种电池的应用,并开发及提升特种电池的人工智能生产设施和设备;(ii)3.12百万港元(占约40%)用作偿还集团将于未来六个月到期的银行融资;及(iii)1.56百万港元(占约20%)用作集团一般营运资金。",HKD,--,能源储存装置,电子元件,139961,9,--,--,--,--,--,--,--,--,--,--,--,--,--,金力集团
0256.HK,冠城钟表珠宝,供股,预案,2026/05/05,2026/07/09,--,--,0.1000,--,--,"(i)不少于所得款项净额的70%,或约100.4百万港元,将用于偿还未偿还债务。截至二零二五年十二月三十一日,集团的未偿还债务约为805.8百万港元;及(ii)余下所得款项净额将用作集团一般营运资金。",HKD,每持有3股现有股份获发1股供股股份,珠宝钟表,服装、服饰与奢侈品,26073,8,2026/07/13,--,英皇证券有限公司,--,--,--,--,--,--,英皇企业融资有限公司,--,--,--,冠城钟表珠宝
1568.HK,承达集团,配售,预案,2026/05/05,--,--,--,--,--,--,"假设配售股份获悉数配售,配售所得款项总额预计合共约为14.5百万港元,而配售所得款项净额(经扣除配售佣金及其他相关费用及配售开支后)预计合共约为14.2百万港元。公司就每股配售股份的净价估计约为0.643港元。公司拟将配售所得款项净额用作集团的一般营运资金。",HKD,--,楼宇建造,建筑与工程,139960,9,--,--,佳富达证券有限公司,--,--,--,--,--,--,--,--,--,--,承达集团
8471.HK,新达控股,配售,预案,2026/05/05,--,--,--,--,--,--,预期(i)约2.6百万港元(相当于所得款项净额约55.32%)将用于集团于香港发展及扩展放债业务;及(ii)余额约2.1百万港元(相当于所得款项净额约44.68%)将用作公司之一般营运资金。,HKD,--,纺织品及布料,商业印刷,139959,9,--,--,瑞邦证券有限公司,--,--,--,--,--,--,--,--,--,--,新达控股
0456.HK,新城市建设发展,配售,预案,2026/05/04,--,--,--,--,--,--,所得款项净额用作集团一般营运资金。,HKD,--,地产投资,房地产开发,139956,9,--,--,--,--,--,--,--,--,--,--,--,--,--,新城市建设发展
0474.HK,信铭生命科技,代价发行,预案,2026/05/04,--,--,--,--,--,--,向Imagi Fin Group Limited收购股份。,HKD,--,重型机械,建筑与工程,134224,10,--,--,--,--,--,--,--,--,--,浤博资本有限公司,--,--,--,信铭生命科技
0476.HK,科轩动力控股,配售,预案,2026/05/04,--,--,--,--,--,--,董事拟将第二次认购事项之所得款项净额用于支付判决金额及补充集团之一般营运资金。,HKD,--,商业用车及货车,汽车制造商,139955,9,--,--,--,--,--,--,--,--,--,--,--,--,--,科轩动力控股
0343.HK,文化传信,配售,预案,2026/04/29,--,--,--,--,--,--,公司拟将认购事项所得款项净额用于公司的营运资金。,HKD,--,出版,出版,139954,9,--,--,--,--,--,--,--,--,--,--,--,--,--,文化传信
0397.HK,嬴集团,供股,预案,2026/04/29,--,--,--,0.0380,--,--,"公司拟将供股的所得款项净额用于(i)约60%用于扩充集团的金融服务业务,包括向客户提供孖展融资;(ii)约10%用于升级及加强集团的金融交易系统及基建,以及相关人员、市场推广及业务能力,以扩大集团的服务范围,并支持集团的业务扩充计划(包括(须待监管部门批准)计划扩展美国股票买卖及代币化证券相关活动);(iii)约20%的所得款项净额将用作为集团的借贷及资产投资分类提供额外资本。此部分将用作支付法律及专业费用、持续管理及监察成本,以及新增提取贷款及融资需要不时所需的额外资本;及(iv)约10%的所得款项净额将拨付集团办公室及行政管理、专业及合规、企业管治、投资者关系等事宜以及其他业务及策略发展的成本及开支。",HKD,每持有2股现有股份获发1股供股,信贷,特殊金融服务,26072,8,--,--,国农证券有限公司,--,--,--,--,--,--,--,--,--,--,嬴集团
0472.HK,新丝路控股集团,配售,预案,2026/04/28,--,--,--,--,--,--,"集团拟将认购事项之所得款项净额用于以下各项(i)约55,100,000港元用于投资智能种子业务;(ii)约55,100,000港元用于投资半导体供应链融资业务;及(iii)约27,560,000港元用于一般营运资金(包括支付员工成本、租金开支及其他业务及公司开支)。",HKD,--,物业服务及管理,房地产经营公司,139953,9,--,--,--,--,--,--,--,--,--,--,--,--,--,新丝路控股集团
1921.HK,达力普控股,配售,预案,2026/04/28,--,--,--,--,--,--,公司拟将所得款项净额用作集团的一般营运资金及一般企业用途。,HKD,--,油气设备与服务,石油天然气设备与服务,139947,9,--,--,香港上海汇丰银行有限公司,--,--,香港上海汇丰银行有限公司,--,--,--,--,--,--,--,达力普控股
2889.HK,博泰车联,配售,实施完成,2026/04/28,2026/05/06,895980.0000,0.597355,127.3500,114103053.0000,113610000.0000,(i)约60%用于AI技术应用及产品研发和相关业务拓展;及(ii)约40%用于营运资金及一般企业用途。,HKD,--,汽车零件,信息科技咨询与其它服务,139950,9,--,493053.0000,--,--,--,--,--,--,--,--,--,--,--,博泰车联
3750.HK,宁德时代,配售,实施完成,2026/04/28,2026/04/30,62385000.0000,1.366874,628.2000,39190257000.0000,39123270000.0000,"本次配售所得净募集资金将用于全球新能源项目建设和零碳业务布局、研发投入、补充日常营运资金及其他一般企业用途,以加速实施全球化零碳战略并支撑长期可持续发展。",HKD,--,能源储存装置,电子元件,139951,9,--,66987000.0000,"中国国际金融香港证券有限公司,摩根士丹利亚洲有限公司,Merrill Lynch (Asia Pacific) Limited,J.P. Morgan Securities (Asia Pacific) Limited",--,"中国国际金融香港证券有限公司,摩根士丹利亚洲有限公司,Merrill Lynch (Asia Pacific) Limited,J.P. Morgan Securities (Asia Pacific) Limited",--,--,--,--,--,--,--,--,宁德时代
0482.HK,圣马丁国际,配售,预案,2026/04/27,--,--,--,--,--,--,"所得款项净额90.2百万港元(扣除任何配售佣金前)拟定用途修订如下:(a)最多约79.7百万港元用于部分偿还贷款B之本金;及(b)假设利息豁免适用,约10.5百万港元用于偿还贷款B之未偿还利息(直至二零二五年十二月三十一日)。",HKD,"根据上市规则第7.21(1)(b)条,公司已作出安排,透过向独立承配人提呈发售未获认购供股股份的方式出售67,589,601股未获认购供股股份(包括未售出不合资格股东供股股份),使因供股而获要约之相关股东受益。",消费电子产品,有线和卫星电视,139945,9,--,--,--,--,--,--,--,--,--,--,--,--,--,圣马丁国际
0544.HK,大同集团,配售,实施完成,2026/04/27,2026/04/30,5802208.0000,12.947529,2.0000,11604416.0000,11400000.0000,"认购事项之所得款项净额拟用于(i)约10.21百万港元将用于偿还集团的债务;及(ii)约1.19百万港元将分配作集团的一般营运资金,包括但不限于员工成本、办公室及场地的租金付款以及其他行政开支。",HKD,--,航空货运及物流,综合支持服务,139946,9,--,204416.0000,--,--,--,--,--,--,--,--,--,--,--,大同集团
1152.HK,正乾金融控股,代价发行,预案,2026/04/27,--,--,--,--,--,--,向PayCools Cayman Limited收购2%的已发行股本。,HKD,--,包装食品,经销商,134222,10,--,--,--,--,--,--,--,--,--,--,--,--,--,正乾金融控股
1361.HK,361度,配售,预案,2026/04/27,--,--,--,--,--,--,"(i)约80%(或约488.65百万港元)将用于拓展海外市场网络,包括但不限于:零售店铺的租赁及装修、电子商务平台的搭建、潜在业务目标的收购、营销及品牌推广活动,以及设立海外附属公司;及(ii)约20%(或约122.16百万港元)将用于一般营运资金及其他一般企业用途,包括但不限于:支持集团主要业务的日常运营及持续业务发展,以及拨付设立海外附属公司及办事处的启动资金。",HKD,--,鞋类,休闲用品,139948,9,--,--,UBS AG Hong Kong Branch,--,--,--,--,--,--,--,--,--,--,361度
2522.HK,一脉阳光,代价发行,预案,2026/04/27,--,--,--,--,--,--,"向Sun Seeds Management Co., Limited收购Hong Kong Sun Seeds Management Co., Limited全部股份及向永安价值4号有限合伙基金收购永安医疗科技有限公司全部股份。",HKD,--,医疗及医学美容服务,医疗保健技术,134221,10,--,--,--,--,--,--,--,--,--,--,--,--,--,一脉阳光
8096.HK,赏之味,供股,预案,2026/04/27,2026/08/05,--,--,0.1000,--,--,公司拟将供股所得款项净额全数用于(i)扩大公司的餐厅网络;及(ii)集团一般营运资金。,HKD,每持有2股股份获发3股供股股份,餐饮,餐馆,26071,8,2026/08/07,--,新确证券有限公司,--,--,--,--,--,--,荣高金融有限公司,--,--,--,赏之味
0524.HK,长城天下,配售,预案,2026/04/24,--,--,--,--,--,--,"该等配售事项所得款项净额将于二零二七年十月或之前用作集团之一般营运资金,当中(i)约12,000,000港元用作薪金及租金开支;(ii)约2,900,000港元用作法律咨询、核数及公司秘书服务开支等专业费用;(iii)约1,000,000港元用于偿还债务;及(iv)约2,110,000港元用作经营及其他行政开支,包括上市费、登记处服务费、财经印刷、保险、企业年度费用及公用开支。未动用之配售事项所得款项将暂时存放于香港持牌商业银行作为短期存款。",HKD,--,电讯服务,综合电信业务,139943,9,--,--,一盈证券有限公司,--,--,--,--,--,--,--,--,--,--,长城天下
1380.HK,中国金石,配售,预案,2026/04/24,--,--,--,--,--,--,认购事项所得款项拟用作(a)集团一般营运资金用途;及(b)集团业务发展及扩张(包括但不限于探索潜在的贵金属机会以及在智利的潜在项目)。,HKD,--,其他金属及矿物,建筑材料,139944,9,--,--,--,--,--,--,--,--,--,--,--,--,--,中国金石
8120.HK,国农金融投资,配售,预案,2026/04/24,--,--,--,--,--,--,公司拟将配售事项的全部所得款项净额用于偿还集团的未清偿贷款及利息、在中国发展农产品及相关业务以及酒精饮料业务以及补充集团一般运营资金。,HKD,--,餐饮,食品分销商,139942,9,--,--,嬴控金融证券有限公司,--,--,--,--,--,--,--,--,--,--,国农金融投资
8125.HK,中新控股,配售,预案,2026/04/23,--,--,--,--,--,--,"配售事项的所得款项净额拟作为运营资金用途及在机会出现时用于集团的未来投资,但于本公告日期,尚未确定具体的投资目标。",HKD,--,楼宇建造,特殊消费者服务,139940,9,--,--,宏智证券(香港)有限公司,--,--,--,--,--,--,--,--,--,--,中新控股
0199.HK,德祥地产,配售,预案,2026/04/22,--,--,--,--,--,--,"(i)约70%的所得款项净额(即约港币37,010,000元),将用于集团现有战略框架下的投资相关计划,重点关注有关AI、运算基础设施、Web3相关技术应用及相关行业资源的机会与项目。此类资金运用预计将在考虑项目准备情况、商业条款及现行市场状况下,分阶段且有序地进行,并可能包括项目层面的投资、少数股权投资、战略性持股、私募市场机会,以及与可能在为集团带来战略契合度或长期价值的公司、平台或资产所进行的其他投资安排;及(ii)约30%的所得款项净额(即约港币15,860,000元)将用于扩大及加强与集团持续业务发展及战略计划相关的战略合作安排,并支持集团在关键海外市场的业务发展及市场拓展。此类所得款项用途可能包括与技术合作伙伴、业界参与者、机构交易对手及其他商业伙伴建立合作及工作关系,以协助集团在AI、运算基础设施及Web3相关应用领域取得项目、行业知识、技术资源、市场渠道及合作机会,并支持集团在香港、新加坡、中东、北美、泛亚洲及其他关键海外市场的业务发展及市场扩张,从而提升其国际影响力。此项资金运用旨在增强集团的外部连结能力及战略灵活性,以便审慎评估未来的商机。",HKD,--,地产发展商,多样化房地产活动,139938,9,--,--,"招银国际金融有限公司,瑞邦证券有限公司,百惠证券有限公司,华兴证券(香港)有限公司",--,招银国际金融有限公司,--,--,--,--,--,--,--,--,德祥地产
6682.HK,范式智能,配售,实施完成,2026/04/22,2026/04/29,38800000.0000,7.466151,40.3600,1565968000.0000,1555630000.0000,"(1)80%用于推进基于异构GPU的异构AI算力设备,为集团的API业务提供基础设施;(2)20%用于全球业务扩张及潜在收购支持新兴业务(包括具身智能及智能设备,统称‘新兴业务’)的技术服务提供商,其中:(i)40%用于全球业务扩张;及(ii)60%用于潜在收购支持新兴业务的技术服务提供商,其中,50%用于收购支持具身智能的技术服务提供商;及50%用于垂直行业扩张。",HKD,--,数码解决方案服务,系统软件,139939,9,--,10338000.0000,"中国国际金融香港证券有限公司,华泰金融控股(香港)有限公司",--,"中国国际金融香港证券有限公司,华泰金融控股(香港)有限公司",--,--,--,--,--,--,--,--,范式智能
8320.HK,沛然环保,配售,预案,2026/04/22,--,--,--,--,--,--,"(i)用于开发氢能、可再生能源及可持续供应链的新业务(详情披露于公司日期为二零二六年四月十四日的公告)的营运资金1,000万港元;(ii)偿还现有银行贷款300万港元;及(iii)集团的行政及公司开支约110万港元。",HKD,--,其他支援服务,调查和咨询服务,139937,9,--,--,软库中华金融服务有限公司,--,--,--,--,--,--,--,--,--,--,沛然环保
0302.HK,中手游,配售,实施完成,2026/04/21,2026/04/28,122950818.0000,4.104636,0.2440,30000000.0000,29500000.0000,"集团为领先的IP游戏发行商及开发商,主要聚焦于与著名文化产品及艺术作品有关的IP(例如来自受欢迎的动画、小说和电影的主角或人物),该等IP具有庞大的粉丝群体、市场认受性和商业价值。公司拟将全部认购事项所得款项净额用于为其游戏发行业务提供资金。",HKD,--,游戏软件,互动家庭娱乐,139934,9,--,500000.0000,--,--,--,--,--,--,--,--,--,--,--,中手游
2256.HK,和誉-B,配售,实施完成,2026/04/21,2026/04/28,42900000.0000,6.296736,12.1800,522522000.0000,517300000.0000,(i)约90%(约470.3百万港元)将用作研发创新的肿瘤及非肿瘤候选药物、推进国际多中心临床试验及潜在的商业化活动;及(ii)约10%(约52.3百万港元)将用作一般及公司用途。,HKD,--,生物技术,制药,139936,9,--,5222000.0000,花旗环球金融有限公司,--,花旗环球金融有限公司,--,--,--,--,--,--,--,--,和誉-B
3393.HK,威胜控股,配售,实施完成,2026/04/21,2026/04/27,50000000.0000,--,30.0000,1500000000.0000,1474000000.0000,"公司拟将所得款项净额用于以下方面:(i)所得款项净额约14.93%(或约220百万港元)将分配用于发展磁保持及高压直流业务,包括建设生产设施及购买生产设备。公司正积极将其产品组合扩展至产业链上游分部;(ii)所得款项净额约13.57%(或约200百万港元)将分配用于国内研发及智能制造投资,以提升管理效率及品质控制。集团将继续提高其研发及制造能力,以期增强其在智能电网解决方案领域的竞争力;(iii)所得款项净额约33.92%(或约500百万港元)将分配用于拓展海外市场,包括北美、欧洲及南非;(iv)所得款项净额约13.57%(或约200百万港元)将分配用于收购一间从事能源管理数字化与智慧化建设业务,为全球电网、园区及工商业使用者提供全流程数字化解决方案的公司;(v)所得款项净额约13.57%(或约200百万港元)将分配用于偿还银行借款;及(vi)所得款项净额约10.45%(或约154百万港元)将分配用于集团的一般营运资金及一般企业用途,包括但不限于薪金相关开支、专业费用、行政费用及其他企业开支。",HKD,--,工业零件及器材,电气部件与设备,139935,9,--,26000000.0000,"花旗环球金融有限公司,中国国际金融香港证券有限公司",--,"花旗环球金融有限公司,中国国际金融香港证券有限公司",--,--,--,--,--,--,--,--,威胜控股
8178.HK,中国信息科技,供股,预案,2026/04/21,2026/07/07,--,--,0.1800,--,--,公司拟将有关所得款项净额全数用于偿还公司尚未清偿之债务。,HKD,每持有2股现有股份获发1股供股,互联网服务及基础设施,互联网服务和基础设施,26070,8,2026/07/09,--,昌利证券有限公司,--,--,--,--,--,--,--,--,--,--,中国信息科技
0279.HK,裕承科金,配售,实施完成,2026/04/20,2026/04/29,123000000.0000,9.665804,0.4900,60270000.0000,59800000.0000,"公司拟将所得款项净额分配作以下用途:(i)所得款项净额约50.2%,或约港币30,000,000元,用于偿还股东贷款及相关成本;(ii)所得款项净额约26.8%,或约港币16,000,000元,用于策略性投资及集团之持续业务发展,包括但不限于巩固监管资本基础、在香港及其他主要司法权区获取额外牌照及拓展至多个高增长行业;(iii)所得款项净额约13.4%,或约港币8,000,000元,用于提升集团现有业务,例如投资资讯科技基础设施、系统升级、加强服务能力以及建立技术及生态系统合作伙伴关系;及(iv)所得款项净额约9.6%,或约港币5,800,000元,将用作集团一般营运资金及一般企业用途。",HKD,--,投资及资产管理,投资银行业与经纪业,139931,9,--,470000.0000,凯基证券亚洲有限公司,--,--,--,--,--,--,--,--,--,--,裕承科金
0451.HK,协鑫新能源,配售,实施完成,2026/04/20,2026/04/28,127000000.0000,8.17076,1.0500,133350000.0000,131000000.0000,"(i)拟动用约75百万港元用于全面的业务发展,包括(i)拓展及提升光伏营运与管理业务的数字化升级,以提高营运及维护活动的效率,确保集团业务的日常运作顺畅。此拨款的一部分亦将用于开发大数据平台,旨在改善数据分析、营运效率及决策流程;以及(ii)拓展能源及相关产品贸易业务,该资金可用作短期营运资金,例如产品采购成本及合约预付款等等;(ii)约15百万港元将用于偿还集团将于二零二六年九月三十日前到期的现有银行及其他贷款;及(iii)约41百万港元的余下资金将分配予行政开支,以支持集团的公司职能及合规要求。",HKD,--,非传统/可再生能源,燃气公用事业,139932,9,--,2350000.0000,海通国际证券有限公司,--,--,--,--,--,--,--,--,--,--,协鑫新能源
0020.HK,商汤-W,配售,实施完成,2026/04/17,2026/04/24,1700000000.0000,4.205419,1.9100,3247000000.0000,3230000000.0000,"本次配售所得款项净额(扣除配售佣金及本次配售其他相关成本开支后)将主要用于以下用途(i)40%将用于扩大公司人工智能基础设施SenseCore商汤AI大装置的规模,特别是基于国产芯片的国产化AI超算集群扩容,同时升级公司国产化AI云的技术栈,为集团即将推出的AI词元计划(tokenplan)提供基础设施,并预计在2026年12月31日前悉数使用。本部分资金将主要用于SenseCore商汤AI大装置的整体产能扩容、架构迭代与运营优化,该平台是支撑集团AI技术创新与产业落地的核心技术底座。公司将优先推进国产化AI超算集群的规模扩张,专项投入基于国产芯片的适配与高性能计算节点部署,为未来推理需求的增长以及集团即将推出的AI词元计划(tokenplan)筑牢基础设施。此外,该笔资金将支持公司全栈AI云产品的端到端迭代升级,包括优化底层云计算框架、丰富行业专属的云服务模块、提升跨资源算力协同能力,同时增强公司基于国产芯片的AI云栈解决方案的综合竞争力、可扩展性与安全合规水平。本次投资将进一步巩固公司在国产化智能计算服务市场的领先地位,凭藉自主可控的全栈AI基础设施能力,更好地赋能各行业端到端的数字化与智能化转型。(ii)30%将用于支持公司生成式AI的研发工作,核心聚焦公司SenseNova日日新系列的持续创新达到全球头部水平,包括但不限于基于自研NEO架构打造的原生多模态大模型的研发,同时拓展公司AI词元计划(tokenplan)的产品供给以实现商业化落地,并预计在2026年12月31日前悉数使用。本次募集资金将用于公司在生成式人工智能这一支撑未来可持续增长的战略核心赛道的长期研发投入。公司已发布自研原生多模态NEO架构,该架构在多模态信息处理和智能体方面已显示出重要的效率优势,并能高效支持理解生成统一、混合模态的思考、生成和编辑,公司将持续投入资源推动该技术升级,并使其能够在国产化算力基础设施上实现高效推理。公司亦将加速Sense Nova日日新大模型在泛办公助手、电商营销、内容生成、金融、智能终端等多个高价值场景的工业级商业化落地。与此同时,公司将进一步规模化升级基于Sense Nova体系打造的AI词元服务计划,扩大对全球开发者的服务覆盖,优化用户运营与全周期技术支持体系,为公司行业领先的生成式AI技术,打造可持续、以用户为中心的商业化变现生态。(iii)20%将用于持续探索AI在创新垂直领域的技术融合与实践,包括但不限于用原生AI技术赋能教育、软件即服务(SaaS)、软硬结合产品等领域,并预计在2026年12月31日前悉数使用。本部分所得款项净额将助力公司持续探索并深耕多元化的AI赋能垂直行业服务,推动公司核心AI技术与传统场景的深度融合。公司将聚焦在教育、软件即服务(SaaS)、软硬结合产品等多个高潜力领域进行AI升级与改造,将原生AI技术深度嵌入上述领域企业的业务流程,实现效率提升,并最终形成可规模化复制的生态体系。(iv)10%将用作公司的一般营运资金,并预计在2026年12月31日前悉数使用。该等营运资金将用于覆盖公司各办公机构的日常运营开支,包括行政开支、市场推广与品牌建设费用,以及员工薪酬与日常管理费用。此外,该资金储备将有助于应对潜在的短期市场不确定性,支撑日常现金流管理,为各业务板块的协同推进提供充足的财务支撑。保持充足的营运资金,亦能够增强公司整体韧性,在行业趋势与市场环境变化中支撑公司及时的、灵活的业务布局响应,为集团AI发展战略的长期落地筑牢稳健的运营基础。",HKD,--,数码解决方案服务,系统软件,139924,9,--,17000000.0000,香港上海汇丰银行有限公司,--,--,香港上海汇丰银行有限公司,--,--,--,--,--,--,--,商汤-W
1201.HK,天臣控股,配售,预案,2026/04/17,--,--,--,--,--,--,"公司拟将配售所得款项净额约(i)3,000万港元用于结清因公司日期为二零二六年三月十六日之公告所详述之争议而应付予海峡金融控股有限公司的未偿还款项;(ii)3,000万港元用作集团的锂离子动力电池业务之一般营运资金,包括结算电费、工资薪金及原材料采购成本等营运开支;(iii)3,500万港元用作集团的充电站业务之一般营运资金及扩展,当中可能涉及在香港设立或收购更多电动汽车充电站;及(iv)800万港元用作公司香港总办事处之营运资金,包括结算员工薪金、租金开支及其他营运开支。",HKD,"于本公告日期,倍建拥有公司57.02%股权。",能源储存装置,电子元件,139929,9,--,--,--,--,--,--,--,--,--,--,--,--,--,天臣控股
2312.HK,LONG投资集团,代价发行,实施完成,2026/04/17,2026/05/04,40601429.0000,9.753465,0.7280,29557840.0000,--,向Qomolangma Capital Ltd.及Nebula Digital Investment Limited收购Metalpha Technology Holding Limited及NIP Group Inc.部分已发行股本。,HKD,--,投资及资产管理,资产管理与托管银行,134225,10,--,--,--,--,--,--,--,--,--,--,--,--,--,LONG投资集团
2499.HK,佛朗斯股份,配售,预案,2026/04/17,--,--,--,--,--,--,"所得款项净额拟用于投入集团的日常经营,支持技术创新与数字化运营,扩展线下服务网络,进行电动化等业务的布局。",HKD,--,工业零件及器材,环境与设施服务,139926,9,--,--,--,--,--,--,--,--,--,--,--,--,--,佛朗斯股份
6162.HK,天瑞汽车内饰,配售,实施完成,2026/04/17,2026/05/06,400000000.0000,20.0,0.1380,55200000.0000,54900000.0000,"(i)约港币39,500,000元(占所得款项净额约72.0%),以履行其日后的贷款偿还责任;(ii)约港币15,400,000元(相当于所得款项净额约28.0%),用于补充集团一般营运资金,包括采购原材料及支持集团日常营运。",HKD,--,汽车零件,汽车零件与设备,139928,9,--,300000.0000,盈宝证券国际(香港)有限公司,--,--,--,--,--,--,--,--,--,--,天瑞汽车内饰
8191.HK,鸿伟亚洲,供股,预案,2026/04/17,2026/07/17,--,--,0.1300,--,--,"公司管理层一直积极考虑可行的集资方案,旨在提升集团的资本化水平╱权益,并支持公司的持续增长。公司计划动用供股所得款项净额约37.19百万港元清偿上述债务,其中(i)约7.5百万港元及21.77百万港元分别用于结清未偿还票据及偿还贷款;(ii)约3.96百万港元用于发展现有有关购买设备及配套基础建设等固定资产投资的业务;及(iii)约3.96百万港元用作公司的一般营运资金,包括专业费用及行政开支",HKD,每持有1股现有股份可获发4股供股股份,林业及木材,林业产品,26069,8,2026/07/21,--,德林证券(香港)有限公司,--,--,--,--,--,--,--,--,--,--,鸿伟亚洲
0476.HK,科轩动力控股,配售,实施完成,2026/04/16,2026/04/24,3830000.0000,1.193856,0.5120,1960960.0000,1940000.0000,"认购事项之所得款项总额估计约为1,960,000港元及预期所得款项净额(扣除认购事项下公司将承担之所有相关专业费用及其他开支约20,000港元后)约为1,940,000港元,相当于每股认购股份之净认购价格约为0.507港元。董事拟将认购事项之所得款项净额用于偿还若干欠款及补充集团之一般营运资金。",HKD,--,商业用车及货车,汽车制造商,139923,9,--,20960.0000,--,--,--,--,--,--,--,--,--,--,--,科轩动力控股
0574.HK,百信国际,供股,实施完成,2026/04/16,2026/06/17,--,--,0.0136,--,--,"预期供股所得款项总额约为10百万港元。扣除相关成本及开支后,供股所得款项净额估计约为9.5百万港元。公司拟将供股所得款项净额全数用于部分偿还一笔未偿还借款,该借款之首笔本金金额为人民币35,000,000元,该笔贷款由独立第三方东财嘉实控股(海南)有限责任公司根据2023年10月28日订立之贷款协议向公司间接附属公司成都科讯药业有限公司授出。",HKD,每持有2股现有股份获发1股供股,药品分销,贸易公司与经销商,26068,8,2026/06/22,--,元宇证券有限公司,--,--,--,--,--,--,--,--,--,--,百信国际
8547.HK,PACIFIC LEGEND,配售,预案,2026/04/16,--,--,--,--,--,--,"(i)约34%(或9.5百万港元)用于偿还与向一名独立第三方认购的本金额为人民币10百万元并于2026年3月27到期的无抵押应付债券相关的借款,预期该借款将于供股事项完成前获再融资或延期,而所得款项净额将用于其后偿还该再融资或延期的借款。基于公司现行资金规划,并视乎与相关贷款人的磋商结果及现行市况,公司拟于应付债券到期时,透过寻求现有应付债券的短期延期,或以其他短期借款再融资应付债券,以应付其短期资金需求。公司亦拟于收取供股事项所得款项后偿还再融资或延期的借款;(ii)约18%(或5.0百万港元)用于支付租金开支(包括应计租金开支);(iii)约18%(或5.0百万港元)用于迪拜项目(该项目为阿联酋员工宿舍提供家具,为期至少三年);(iv)约7%(或2.0百万港元)用于在香港开设一间新零售店铺;及(v)余下约23%(或6.6百万港元)用作集团的一般营运资金,以支付薪金、供应商款项及其他运营与行政开支。",HKD,"截至2026年4月9日(星期四)下午四时正(即最后接纳时限),根据暂定配额通知书就合共146,413,816股供股股份接获合共三(3)份有效申请及接纳,占根据供股事项可供认购的提呈股份约49.5%。余下149,165,934股未获认购股份(包括非合资格股东未出售供股股份),占根据供股事项可供认购的提呈股份总数约50.5%,将受补偿安排所规限。",家具,家庭装饰零售,139922,9,--,--,--,--,--,--,--,--,--,--,--,--,--,PACIFIC LEGEND
1153.HK,佳源服务,配售,实施完成,2026/04/15,2026/04/24,60500000.0000,9.890324,0.2500,15125000.0000,14600000.0000,"公司拟将配售事项的全部所得款项净额约14.60百万港元用于充实集团的一般营运资金及加强集团的财务状况,其将用于集团的一般营运资金,包括租金付款、员工成本、专业费用及其他一般行政及营运开支,以及用于结算未偿还应付款项。",HKD,--,物业服务及管理,房地产经营公司,139919,9,--,525000.0000,宝时证券有限公司,--,--,--,--,--,--,--,--,--,--,佳源服务
2110.HK,天成控股,配售,预案,2026/04/15,--,--,--,--,--,--,公司拟将配售事项之所得款项净额悉数用作一般营运资金。,HKD,--,重型基建,建筑与工程,139920,9,--,--,鼎石证券有限公司,--,--,--,--,--,--,--,--,--,--,天成控股
2616.HK,基石药业-B,配售,实施完成,2026/04/15,2026/04/22,118000000.0000,7.994479,8.9700,1058460000.0000,1053170000.0000,"配售所得款项净额预期将用于以下用途(i)90%用于与集团‘管线2.0’中的资产的相关进一步研发,尤其是CS2009(一款靶向PD-1、VEGFA及CTLA-4的三特异性分子,目前处于II期开发阶段,具有潜在同类首创╱同类最优的下一代肿瘤免疫骨架)、CS5001(一种潜在同类最佳的ROR1ADC)以及其他处于临床前或IND准备阶段的资产;及(ii)余下所得款项净额于适当时用于其他一般公司用途。",HKD,--,生物技术,生物科技,139918,9,--,5290000.0000,高盛(亚洲)有限责任公司,--,高盛(亚洲)有限责任公司,--,高盛(亚洲)有限责任公司,--,--,--,--,--,--,基石药业-B
