p05493_f001,p05493_f002,p05493_f003,p05493_f004,p05493_f005,p05493_f006,p05493_f007,p05493_f008,p05493_f009,p05493_f010,p05493_f011,p05493_f012,p05493_f013,p05493_f014,p05493_f015,p05493_f016,p05493_f017,p05493_f018,p05493_f019,p05493_f020,p05493_f021,p05493_f022,p05493_f023,p05493_f024,p05493_f025,p05493_f026,p05493_f027,p05493_f028,p05493_f029,p05493_f030,p05493_f031,jydm_mc
8401.HK,源想集团,供股,实施完成,2025/02/07,2025/05/14,8391510.0000,3.4964625583,0.0850,714240.0000,672000.0000,公司拟将所得款项净额中(i)约25.5百万港元用于扩展及发展集团的网上广告服务业务及推广网上平台;及(ii)约13.0百万港元用于一般营运资金。,HKD,每持有1股股份获发2股供股股份,广告及宣传,广告,24740,8,2025/05/16,42240.0000,华业证券有限公司,--,--,--,--,--,--,珑盛资本有限公司,--,--,--,源想集团
0193.HK,冠中地产,配售,实施完成,2025/02/06,2025/02/28,38865000.0000,19.998708,0.2670,10376955.0000,10000000.0000,"公司拟将配售事项所得款项净额约10,000,000港元用于其营运、业务及用作一般营运资金。",HKD,--,信贷,酒店及度假村REIT,137844,9,--,376955.0000,弘雅资本有限公司,--,--,--,--,--,--,--,--,--,--,冠中地产
0497.HK,资本策略地产,供股,实施完成,2025/02/02,2025/04/14,8288810694.0000,89.9999998436,0.1800,1492000000.0000,1463000000.0000,"(i)8亿港元(包括高级无抵押债券下的所有所得款项)用作再融资及╱或偿还债务;及(ii)余额用作营运资金需求,从而提高公司的财务状况。",HKD,每持有10股股份获配18股供股股份,地产发展商,多样化房地产活动,24739,8,2025/04/16,29000000.0000,--,鼎佩证券有限公司,--,--,--,--,--,创越融资有限公司,--,--,--,资本策略地产
0136.HK,中国儒意,配售,实施完成,2025/01/28,2025/02/27,654008438.0000,4.084843,2.3700,1549999998.0000,1549999998.0000,"(a)约90%用作集团业务之增长及扩张,包括内容制作、购买剧本及版权及购买影视节目版权,以及整合集团业务之上下游资源;及(b)约10%用作集团之一般营运资金用途。",HKD,--,影视娱乐,电影和娱乐,137859,9,--,0.0000,天风国际证券与期货有限公司,--,--,--,--,--,--,--,--,--,--,中国儒意
0136.HK,中国儒意,配售,实施完成,2025/01/28,2025/02/18,330226329.0000,2.062546,2.3700,782636399.0000,779334136.0000,"(a)约90%用作集团业务之增长及扩张,包括内容制作、购买剧本及版权及购买影视节目版权,以及整合集团业务之上下游资源;及(b)约10%用作集团之一般营运资金用途。",HKD,--,影视娱乐,电影和娱乐,137858,9,--,3302263.0000,天风国际证券与期货有限公司,--,--,--,--,--,--,--,--,--,--,中国儒意
0136.HK,中国儒意,配售,实施完成,2025/01/28,2025/02/14,160280000.0000,1.001086,2.3700,379863600.0000,378344146.0000,"(a)约90%用作集团业务之增长及扩张,包括内容制作、购买剧本及版权及购买影视节目版权,以及整合集团业务之上下游资源;及(b)约10%用作集团之一般营运资金用途。",HKD,--,影视娱乐,电影和娱乐,137843,9,--,1519454.0000,天风国际证券与期货有限公司,--,--,--,--,--,--,--,--,--,--,中国儒意
0136.HK,中国儒意,配售,实施完成,2025/01/28,2025/07/24,163502329.0000,1.021212,2.3700,387500519.0000,385865496.0000,"(a)约90%用作集团业务之增长及扩张,包括内容制作、购买剧本及版权及购买影视节目版权,以及整合集团业务之上下游资源;及(b)约10%用作集团之一般营运资金用途。",HKD,--,影视娱乐,电影和娱乐,137927,9,--,1635023.0000,--,--,--,--,--,--,--,--,--,--,--,中国儒意
0136.HK,中国儒意,配售,实施完成,2025/01/28,2025/07/09,327004000.0000,2.04242,2.3700,774999480.0000,771729440.0000,"(a)约90%用作集团业务之增长及扩张,包括内容制作、购买剧本及版权及购买影视节目版权,以及整合集团业务之上下游资源;及(b)约10%用作集团之一般营运资金用途。",HKD,--,影视娱乐,电影和娱乐,137875,9,--,3270040.0000,--,--,--,--,--,--,--,--,--,--,--,中国儒意
1636.HK,中国金属利用,配售,预案,2025/01/28,--,--,--,--,--,--,认购事项将(1)加强集团的营运资金及流动资金状况;及(2)进一步优化集团的资本结构。,HKD,--,铜,电气部件与设备,137842,9,--,--,--,--,--,--,--,--,--,--,--,--,--,中国金属利用
1778.HK,彩生活,供股,实施完成,2025/01/27,2025/03/24,371881438.0000,24.9999999664,0.1650,61360437.0000,60360000.0000,"公司拟将供股所得款项净额用于(i)集团的一般营运资金;(ii)将人工智能技术应用于集团之社区营运及大数据建设,以提高集团的服务效率;(iii)发展集团之社区增值服务;及(iv)营运资金储备。",HKD,每4股供1股,物业服务及管理,房地产经营公司,24738,8,2025/03/26,1000437.0000,--,--,--,--,--,--,--,--,--,--,--,彩生活
2098.HK,卓尔智联,配售,预案,2025/01/27,--,--,--,--,--,--,公司拟将上述认购事项所得款项净额用作偿还集团之债务。,HKD,"认购完成后,卓尔控股有限公司权益从10.56%增加至18.45%。",采购及供应链管理,贸易公司与经销商,137840,9,--,--,--,--,--,--,--,--,--,--,--,--,--,卓尔智联
1728.HK,正通汽车,配售,实施完成,2025/01/26,2025/06/02,6669060524.0000,199.255441,0.1500,1000359078.0000,1000359078.0000,"关连认购事项之所得款项净额拟用作(i)支持集团的日常经营、补充流动资金,(ii)为未来不时出现的战略投资或产业并购市场机遇提供资金,及(iii)偿还现存债务,以减低财务成本并促进公司核心业务发展。",HKD,"认购完成后,信达汽车(香港)有限公司权益从24.52%增加至74.78%。",汽车零售商,汽车零售,137839,9,--,0.0000,--,--,--,--,--,--,--,--,--,--,--,正通汽车
6855.HK,亚盛医药-B,配售,实施完成,2025/01/24,2025/02/02,29300000.0000,8.395432,33.5700,983601000.0000,878750000.0000,"(i)约50.0至60.0百万美元用于在中国寻求lisaftoclax用于治疗r/rCLL的NDA批准及于中国筹备商业化上市,推进lisaftoclax在美国及其他国家的临床开发,包括完成GLORA的入组及寻求就在多个国家增加新的试验地点及开展lisaftoclax的更多适应症研究获得监管机构的批准;(ii)约30.0至40.0百万美元用于推进奥雷巴替尼在美国及其他国家的临床开发,包括完成POLARIS-2的入组及及寻求就在多个国家增加新的试验地点及将奥雷巴替尼的标签扩展到更早期的治疗阶段及其他适应症获得监管机构的批准;(iii)约10.0至20.0百万美元用于资助公司其他候选产品的研发,包括完成APG5918治疗贫血症的一期临床试验以及寻求就启动alrizomadlin的注册试验获得批准;及(iv)余额用于开发公司未来的管线项目及作营运资金及一般公司用途。",HKD,--,生物技术,制药,139759,9,--,104851000.0000,--,--,--,--,--,--,--,--,--,--,--,亚盛医药-B
8107.HK,细叶榕科技,配售,实施完成,2025/01/24,2025/02/25,5215000.0000,0.379785,0.6000,3129000.0000,3087280.0000,"董事拟将配售事项所得款项净额用作(i)进一步加强及发展集团创新防伪、溯源及营销产品及相关配套产品的销售,以及提供供应链管理解决方案;(ii)透过扩大销售渠道及强化其功能及特色,包括网上展示、网上交易及产品交付,以加强集团营运的电子商务平台的运作;及(iii)加强集团的营运资金。",HKD,--,服装,服装、服饰与奢侈品,137837,9,--,41720.0000,宝新证券有限公司,--,--,--,--,--,--,--,--,--,--,细叶榕科技
8320.HK,沛然环保,配售,实施完成,2025/01/24,2025/02/13,36000000.0000,4.88129,0.1000,3600000.0000,3450000.0000,"公司拟将所得款项净额用作集团的一般营运资金,包括员工工资合共约3,000,000港元以及租金付款及办公室开支合共约450,000港元。",HKD,--,其他支援服务,调查和咨询服务,137838,9,--,150000.0000,软库中华金融服务有限公司,--,--,--,--,--,--,--,--,--,--,沛然环保
0036.HK,远东控股国际,配售,实施完成,2025/01/22,2025/02/11,82204791.0000,25.159425,0.3340,27456400.0000,26247570.0000,"公司拟将供股所得款项净额约63.26%用作部分偿还应付朱李月华女士(公司附属公司主要股东)的贷款,其余港币约36.74%将用作集团一般营运资金。",HKD,--,地产投资,房地产经营公司,137833,9,--,1208830.0000,--,--,--,--,--,--,--,--,--,--,--,远东控股国际
0209.HK,瀛晟科学,配售,实施完成,2025/01/22,2025/01/28,9400000.0000,6.07402,0.1400,1316000.0000,1200000.0000,"公司拟将所得款项净额用作集团的一般营运资金,预计将用于以下目的(i)约100,000港元用于支付专业费用;及(ii)约1,100,000港元用于支付员工薪金、办公室租金及水电费开支,预计于二零二五年三月前获悉数动用。",HKD,--,玩具及消闲用品,休闲用品,137835,9,--,116000.0000,--,--,--,--,--,--,--,--,--,--,--,瀛晟科学
6908.HK,宏光半导体,配售,实施完成,2025/01/22,2025/02/06,47431502.0000,5.052255,0.4800,22767121.0000,22179399.0000,约60%元用于加强LED、小型LED、Ga  N器件及相关半导体产品的研发能力，包括设立研发中心、招聘研发专业人员以及采购设备及材料以开发及╱或获取专利及技术;约40%用作提供一般营运资金及加强集团财务状况。,HKD,--,半导体,半导体产品,137832,9,--,587722.0000,--,--,--,--,--,--,--,--,--,--,--,宏光半导体
8308.HK,古兜控股,配售,实施完成,2025/01/22,2025/03/07,100000000.0000,8.026966,0.1200,12000000.0000,11700000.0000,"公司拟将认购事项所得款项净额之65%用于潜在的投资收购,并将认购事项所得款项净额之35%用作集团的一般营运资金。",HKD,--,酒店及度假村,酒店、度假村与豪华游轮,137836,9,--,300000.0000,--,--,--,--,--,--,--,--,--,--,--,古兜控股
8340.HK,紫荆国际金融,配售,实施完成,2025/01/22,2025/02/11,1790000.0000,3.222322,0.5000,895000.0000,850000.0000,公司拟将所得款项净额用作集团之一般营运资金。,HKD,--,其他金融,互动家庭娱乐,137834,9,--,45000.0000,--,--,--,--,--,--,--,--,--,--,--,紫荆国际金融
0464.HK,中国智能科技,配售,实施终止,2025/01/21,2025/03/07,--,--,--,--,--,公司计划将所得款项净额用作集团之一般营运资金。,HKD,"截至本公告日期,由于公司没有收到联席配售代理通知配售协议所载先决条件获达成,配售协议已失效及配售事项将不会进行。各订约方就配售事项的所有权利、义务及责任将告终止,及各订约方概不得就配售协议向另一方提出任何申索,惟可能于配售协议项下产生任何先前的违约及/或任何权利或责任除外。",家庭电器,家用电器,137829,9,--,--,"亚太证券有限公司,伯克希尔资本有限公司",--,--,--,--,--,--,--,--,--,--,中国智能科技
1059.HK,看通集团,配售,实施完成,2025/01/21,2025/02/13,62505000.0000,19.999776,0.1720,10750860.0000,10500000.0000,公司拟将所得款项净额用作集团之一般营运资金以及收购位于香港的工业物业。,HKD,--,应用软件,系统软件,137830,9,--,250860.0000,华富建业证券有限公司,--,--,--,--,--,--,--,--,--,--,看通集团
8391.HK,基石科技控股,配售,实施完成,2025/01/21,2025/09/22,32046008.0000,3.251351,0.5000,16023004.0000,16023004.0000,"由于认购事项将透过抵销公司对吴燕燕及梁子豪所欠股东贷款的部分未偿还本金金额来满足,因此配发及发行认购股份之剩余所得款项净额将无剩余可供公司动用。",HKD,"认购完成后,梁子豪先生权益从0.92%增加至1.10%；吴燕燕女士权益从4.99%增加至7.87%。",环保工程,重型电气设备,137831,9,--,0.0000,--,--,--,--,--,--,--,--,--,--,--,基石科技控股
0727.HK,皇冠环球集团,配售,实施完成,2025/01/20,2025/02/20,1059870000.0000,20.0,0.0880,93270000.0000,93000000.0000,"约60,000,000港元用于拓展集团之优质白酒零售网络,以及约33,000,000港元用作集团一般营运资金。",HKD,--,酒精饮料,贸易公司与经销商,137828,9,--,270000.0000,--,--,--,--,--,--,--,--,--,--,--,皇冠环球集团
0815.HK,中国白银集团,配售,实施完成,2025/01/20,2025/01/28,388044853.0000,12.78003,0.2520,97787303.0000,97787303.0000,向上海鸥亘及上海启贸支付尚未偿还本金额及应计利息。,HKD,"于Journey Grace认购协议日期,上海鸥亘贷款项下的尚未偿还本金额及应计利息为人民币30,223,416.44元(相等于约32,638,267.41港元)。于金链认购协议日期,上海启贸贷款项下的尚未偿还本金额及应计利息为人民币60,328,767.12元(相等于约65,149,035.62港元)。",黄金及贵金属,贵重金属与矿石,138119,9,--,0.0000,--,--,--,--,--,--,--,--,--,--,--,中国白银集团
2228.HK,晶泰控股,配售,实施完成,2025/01/19,2025/01/24,264000000.0000,6.572066,4.2800,1130000000.0000,1125000000.0000,"公司拟将配售所得款项净额主要用于(i)产品持续迭代升级,提升研发技术能力和解决方案能力;(ii)促进公司的商业化发展,加强外部合作,扩大公司规模和市场份额;(iii)潜在机会投资、人才吸引与引进、营运资金补充和一般公司用途。",HKD,--,生物技术,工业机械和用品及零部件,137827,9,--,5000000.0000,"中信里昂证券有限公司,国泰君安证券(香港)有限公司,京基证券集团有限公司",--,--,--,--,--,--,--,--,--,--,晶泰控股
0456.HK,新城市建设发展,配售,实施完成,2025/01/17,2025/02/07,21000000.0000,11.255233,0.3250,6825000.0000,6625000.0000,所得款项净额用作集团一般营运资金。,HKD,--,地产投资,房地产开发,137825,9,--,200000.0000,--,--,--,--,--,--,--,--,--,--,--,新城市建设发展
