stock_code,company_name,delisting_date,delisting_reason,is_acquired
0378.HK,五龙动力,2023/02/20,被取消上市地位,0
1386.HK,国投集团控股,2023/02/20,被取消上市地位,0
0577.HK,南岸集团,2023/02/09,被取消上市地位,0
1175.HK,鲜驰达控股,2023/02/09,被取消上市地位,0
8055.HK,中国网络信息科技,2023/02/09,被取消上市地位,0
0803.HK,昌兴国际,2023/02/09,被取消上市地位,0
0633.HK,中国全通,2023/01/16,被取消上市地位,0
0282.HK,壹传媒,2023/01/12,被取消上市地位,0
1212.HK,利福国际,2022/12/21,私有化,1
8101.HK,壹家壹品,2022/12/21,被取消上市地位,0
1096.HK,中能国际控股,2022/12/16,被取消上市地位,0
6166_1.HK,中国宏泰发展,2022/12/07,私有化,1
8255.HK,神州数字,2022/12/06,私有化,1
2014.HK,浩泽净水,2022/12/05,被取消上市地位,0
0462.HK,天然乳品,2022/11/28,被取消上市地位,0
0153.HK,中国赛特,2022/11/16,被取消上市地位,0
0143.HK,国安国际,2022/11/14,被取消上市地位,0
0578.HK,融信资源,2022/11/07,被取消上市地位,0
0231.HK,平安证券集团控股,2022/11/07,被取消上市地位,0
0891.HK,利邦,2022/10/31,被取消上市地位,0
0263.HK,高富集团控股,2022/10/31,被取消上市地位,0
0539.HK,冠华国际控股,2022/10/31,被取消上市地位,0
1365.HK,润东汽车,2022/10/31,被取消上市地位,0
2308.HK,研祥智能,2022/10/28,私有化,1
0068_1.HK,利兴发展,2022/10/18,私有化,1
8022.HK,永耀集团控股,2022/10/17,被取消上市地位,0
3378_1.HK,厦门港务,2022/09/27,私有化,1
1227.HK,国盛投资,2022/09/20,被取消上市地位,0
1367.HK,广州基金国际控股,2022/09/20,被取消上市地位,0
0967.HK,桑德国际,2022/09/13,被取消上市地位,0
1533.HK,庄园牧场,2022/08/30,私有化,1
0935.HK,龙翔集团,2022/08/23,私有化,1
1178.HK,汇银控股集团,2022/08/22,被取消上市地位,0
8088.HK,八零八八投资,2022/08/22,被取消上市地位,0
0112.HK,勒泰集团,2022/08/15,被取消上市地位,0
0155.HK,中国源畅,2022/08/08,被取消上市地位,0
1430.HK,苏创燃气,2022/08/03,私有化,1
1639.HK,安捷利实业,2022/07/28,私有化,1
8260.HK,银合控股,2022/07/25,被取消上市地位,0
0787.HK,利标品牌,2022/07/25,被取消上市地位,0
1678.HK,中创环球,2022/07/25,被取消上市地位,0
1589.HK,中国物流资产,2022/07/15,私有化,1
8259.HK,大健康建设,2022/06/22,被取消上市地位,0
8506.HK,嗖嗖互联,2022/06/07,被取消上市地位,0
0067.HK,旭光高新材料,2022/06/01,被取消上市地位,0
0885.HK,仁天科技控股,2022/05/30,被取消上市地位,0
1296.HK,国电科环,2022/05/30,私有化,1
1781.HK,新昌创展控股,2022/05/23,被取消上市地位,0
1337.HK,雷蛇,2022/05/13,私有化,1
2006.HK,锦江资本,2022/05/06,私有化,1
8242.HK,Gsn Corp,2022/05/04,被取消上市地位,0
0109.HK,天成国际,2022/05/04,被取消上市地位,0
8089.HK,华人策略控股,2022/05/04,被取消上市地位,0
1041.HK,林达控股,2022/04/22,被取消上市地位,0
6183.HK,中国绿宝,2022/04/04,被取消上市地位,0
1043.HK,光宇国际集团科技,2022/04/04,被取消上市地位,0
0449.HK,志高控股,2022/04/04,被取消上市地位,0
0706.HK,美丽中国控股,2022/03/28,被取消上市地位,0
8231.HK,节能元件,2022/03/28,私有化,1
2788_1.HK,精熙国际,2022/03/21,私有化,1
2213.HK,益华控股,2022/03/21,被取消上市地位,0
2366.HK,星美文化旅游,2022/03/21,被取消上市地位,0
6663.HK,国际永胜集团,2022/03/07,转板,0
8155.HK,南华资产控股,2022/03/07,被取消上市地位,0
8258.HK,西北实业,2022/02/25,被取消上市地位,0
2228_1.HK,中国节能海东青,2022/02/14,被取消上市地位,0
1139.HK,华多利集团,2022/02/10,被取消上市地位,0
0238.HK,长兴国际,2022/02/09,被取消上市地位,0
1131.HK,鸿宝资源,2022/01/31,被取消上市地位,0
0729.HK,五龙电动车,2022/01/31,被取消上市地位,0
0047.HK,合兴集团,2022/01/27,私有化,1
0043.HK,卜蜂国际,2022/01/18,私有化,1
0307.HK,优派能源发展,2022/01/05,被取消上市地位,0
2295.HK,丰城控股,2021/12/31,转板,0
8351.HK,俊文宝石,2021/12/15,被取消上市地位,0
2398.HK,友佳国际,2021/12/14,私有化,1
8301.HK,明华科技,2021/12/06,被取消上市地位,0
8119.HK,即时科研,2021/11/29,被取消上市地位,0
8265.HK,中国之信集团,2021/11/12,被取消上市地位,0
1106.HK,铭霖控股,2021/11/02,被取消上市地位,0
1573.HK,南方能源,2021/11/02,被取消上市地位,0
2083.HK,大自然家居,2021/10/20,私有化,1
3358.HK,荣威国际,2021/10/12,私有化,1
3992.HK,创毅控股,2021/10/07,私有化,1
1111_1.HK,创兴银行,2021/10/04,私有化,1
2868.HK,首创置业,2021/09/30,私有化,1
8116.HK,中国幸福投资,2021/09/28,被取消上市地位,0
0100_2.HK,白马户外媒体,2021/09/28,私有化,1
8266.HK,卓信国际控股,2021/09/13,被取消上市地位,0
1363.HK,中滔环保,2021/09/10,被取消上市地位,0
