jydm,jydm_mc,p02565_f001,p02565_f002,p02565_f003,p02565_f004,p02565_f009,p02565_f010,p02565_f011,p02565_f005,p02565_f006,p02565_f007,p02565_f008
0615.HK,东强电子集团,东强电子集团有限公司,Orient Power Holdings Limited,2008/03/14,1991/09/02,被取消上市地位,--,"该公司自2007年9月6日起已处于除牌程序的第三阶段;该公司也须于除牌程序的第三阶段的六个月期限届满前最少十个营业日(定义见《上市规则》)提交可行的复牌建议。根据除牌程序,若于第三阶段结束时(就该公司而言为2008年3月5日(‘限期’)),联交所仍未收到该公司可行的复牌建议,该公司股份的上市地位即会被取消。由于该公司未能按有关要求提交可行的复牌建议,因此,联交所将取消该公司股份的上市地位",百慕大,香港九龙红磡鹤翔街1号维港中心第一座三楼7号室,--,--
0510.HK,时富金融服务集团,时富金融服务集团有限公司,CASH Financial Services Group Ltd.,2008/03/03,2000/12/15,转板,13.5003181755,--,百慕大,香港九龙湾宏泰道23号Manhattan Place 28楼,证券及经纪,"综合性资本市场,综合货品商店"
0814.HK,北京京客隆,北京京客隆商业集团股份有限公司 - H股,Beijing Jingkelong Company Limited - H Shares,2008/02/26,2006/09/25,转板,20.884866000,--,北京市朝阳区新源街45号,北京市朝阳区酒仙桥路39号,"超市及便利店,食物饮品",日常消费品零售
0840.HK,天业节水,新疆天业节水灌溉股份有限公司 - H股,Xinjiang Tianye Water Saving Irrigation System Company Limited -H Shares,2008/01/24,2006/02/28,转板,15.585646800,--,中国新疆石河子市石河子经济技术开发区北三东路36号,中国新疆石河子市石河子经济技术开发区北三东路36号,工业零件及器材,工业机械和用品及零部件
0699_1.HK,嘉新水泥中国,嘉新水泥(中国)控股股份有限公司,China Hish Cement Greater China Holding Corporation,2008/01/08,2003/12/12,私有化,--,--,开曼群岛,香港中环都爹利街8-10号香港砖石会大厦16楼,--,--
0839_1.HK,天大石油管材,安徽天大石油管材股份有限公司 - H股,Anhui Tianda Oil Pipe Company Limited - H Shares,2007/12/24,2006/12/01,转板,--,--,中国安徽省天长市铜城镇振兴路,中国安徽省天长市铜城镇振兴路,油气设备与服务,石油天然气设备与服务
8282_1.HK,TOM在线,TOM在线有限公司,Tom Online Inc,2007/09/03,2004/03/11,私有化,--,--,开曼群岛,中国北京东城区东长安街1号东方广场办公楼西3座8层,--,--
0065_1.HK,盈科保险,富通亚洲控股有限公司,Fortis Asia Holdings Limited,2007/08/15,1999/07/07,私有化,--,--,百慕大,香港干诺道中111号永安中心28楼,--,--
0649_1.HK,世茂国际,世茂国际控股有限公司,Shimao International Holdings Limited,2007/07/27,1998/07/15,私有化,--,--,百慕大,香港湾仔港湾道1号会展广场办公大楼43楼4307-12室,--,--
0312_1.HK,易通控股,易通控股有限公司,Ezcom Holdings Limited,2007/07/27,1992/11/26,被取消上市地位,--,"该公司自2006年12月21日起已处于除牌程序的第三阶段。根据除牌程序,若于第三阶段结束时(就该公司而言为2007年6月20日(‘限期’)),联交所仍未收到该公司可行的复牌建议,该公司股份的上市地位即会被取消。由于该公司未能提交任何复牌建议,更谈不上是按有关要求提交可行的复牌建议了;因此,联交所将取消该公司股份的上市地位。",百慕大,香港九龙佐敦佐敦道8号9楼,--,--
0550.HK,律齐文化,律齐文化有限公司,Allegro Culture Limited,2007/07/23,2000/07/20,转板,7.818610800,--,百慕大,香港北角英皇道625号701室,"出版,广告及宣传","商业印刷,广告"
0389_1.HK,泰兴光学集团,泰兴光学集团有限公司,Moulin Global Eyecare Holdings Limited,2007/07/09,1993/10/05,被取消上市地位,--,"该公司自2006年12月14日起已处于除牌程序的第三阶段。根据除牌程序,若于第三阶段结束时(就该公司而言为2007年6月13日(‘限期’)),联交所仍未收到该公司可行的复牌建议,该公司股份的上市地位即会被取消。由于该公司未能按有关要求提交可行的复牌建议,因此,联交所将取消该公司股份的上市地位。",百慕大,香港九龙九龙湾宏开道19号健力工业大厦4字楼,--,--
8099_1.HK,郑州燃气,郑州燃气股份有限公司,Zhengzhou Gas Company Limited,2007/06/29,2002/10/29,--,--,--,中国河南省郑州市陇海西路352号,中国河南省郑州市陇海西路352号,--,--
8135_1.HK,托普科技,成都托普科技股份有限公司,Chengdu Top Sci-Tech Company Limited,2007/05/18,2001/03/30,被取消上市地位,--,"于二零零七年五月三日,创业板上市委员会决定取消本公司的H股之上市地位。根据创业板上市规则第9.14条,联交所将由二零零七年五月十八日上午九时三十分起被取消本公司的H股之上市地位。",中华人民共和国成都市金牛区土桥工业开发区托普科学城,中华人民共和国成都市金牛区土桥工业开发区托普科学城,--,--
8056_1.HK,格林柯尔科技,格林柯尔科技控股有限公司,Greencool Technology Holdings Limited,2007/05/18,2000/07/13,被取消上市地位,--,"于二零零七年五月三日,创业板上市委员会决定取消股份之上市地位。根据创业板上市规则第9.14条,联交所将由二零零七年五月十八日上午九时三十分起取消股份之上市地位。",开曼群岛,香港中环干诺道中168-200号信德中心招商局大厦34楼11室,--,--
1186_1.HK,VP Greenchip,Value Partners China Greenchip Fund Ltd.,Value Partners China Greenchip Fund Ltd.,2007/03/26,2002/04/08,私有化,--,--,开曼群岛,香港皇后大道东1号太古广场三期十四楼,--,--
0192.HK,圣安娜,圣安娜控股有限公司,Saint Honore Holdings Limited,2007/02/23,2000/11/21,私有化,--,--,百慕大,香港黄竹坑香叶道43号风行工业大厦5楼.,--,--
3333_1.HK,森源国际,森源国际控股有限公司,Senyuan International Holdings Ltd.,2007/02/21,2005/07/11,私有化,--,--,开曼群岛,中国江苏省常州市外向型农业综合开发区横塘河西路1号,--,--
0568.HK,山东墨龙,山东墨龙石油机械股份有限公司 - H股,Shandong Molong Petroleum Machinery Co. Ltd. - H Shares,2007/02/07,2004/04/15,转板,21.772732800,--,山东省潍坊市寿光市古城街道兴尚路99号,山东省潍坊市寿光市文圣街999号,油气设备与服务,石油天然气设备与服务
0503_1.HK,中国永乐,中国永乐电器销售有限公司,China Paradise Electronics Retail Ltd.,2007/01/31,2005/10/14,私有化,--,--,开曼群岛,香港皇后大道中99号中环中心61楼6101室.,--,--
1110_1.HK,中航兴业,中航兴业有限公司,China National Aviation Company Limited,2007/01/25,1997/12/17,私有化,--,--,香港大屿山香港国际机场东辉路12号中航大厦5楼,香港大屿山香港国际机场东辉路12号中航大厦5楼,--,--
0098_1.HK,南联实业,南联实业有限公司,Winsor Industrial Corporation Limited,2006/12/21,1969/11/01,私有化,--,--,香港九龙尖沙咀东部加连威老道九十八号东海商业中心二楼,香港九龙尖沙咀东部加连威老道九十八号东海商业中心二楼,--,--
0866_1.HK,SUNDAY Comm,SUNDAY Communications Limited,SUNDAY Communications Limited,2006/12/20,2000/03/16,私有化,--,--,开曼群岛,香港朂鱼涌英皇道979号太古坊电讯盈科中心39楼,--,--
8177_1.HK,中程科技,中程科技集团有限公司,Sino Stride Technology (Holdings) Limited,2006/11/07,2002/07/29,私有化,--,--,开曼群岛,香港湾仔告士打道39 号夏悫大厦12楼1208室,--,--
0926_1.HK,联洲珠宝,联洲珠宝有限公司,Egana Jewellery & Pearls Limited,2006/10/24,--,私有化,--,--,开曼群岛,香港九龙长沙湾青山道489-491号香港工业中心12楼C6座,--,--
0623_1.HK,利丰雅高印刷,利丰雅高印刷集团有限公司,SNP Leefung Holdings Limited,2006/09/27,--,私有化,--,--,百慕大,香港中环德辅道中71号永安集团大厦10楼,--,--
0396_1.HK,Gold-Face Hold,均来集团有限公司,Gold-Face Holdings Limited,2006/09/20,1993/10/15,被取消上市地位,--,"公司于二零零四年八月四日已进入除牌程序第三阶段。根据除牌程序,若于第三阶段结束时(就公司而言为二零零五年二月三日(‘期限’)),联交所仍未收到恢复买卖之可行复牌建议,公司股份之上市地位将予取消。公司已于期限前向联交所提交复牌建议。然而,联交所认为该建议并不可行。联交所认为,于期限结束前,公司未能提供可行之复牌建议。",百慕大,香港新界屯门青杨街12号鸿昌工业中心第1期4楼B室.,--,--
