jydm,jydm_mc,p02565_f001,p02565_f002,p02565_f003,p02565_f004,p02565_f009,p02565_f010,p02565_f011,p02565_f005,p02565_f006,p02565_f007,p02565_f008
8126.HK,G.A.控股,G.A.控股有限公司,G.A.Holdings Ltd.,2026/05/05,2002/06/17,被取消上市地位,0.180994000,"该公司未能于2026年3月31日或之前履行联交所订下的复牌指引而复牌。于2026年4月17日,上市委员会决定根据《GEM规则》第9.14A(1)条取消该公司股份在联交所的上市地位。",开曼群岛,新加坡51金岭广场#15-05,"汽车,汽车零售商",汽车零售
6051.HK,有赞,有赞科技有限公司,Youzan Technology Limited,2026/04/17,2000/04/14,转板,51.1163785656,--,百慕大,香港湾仔港湾道6-8号瑞安中心15楼1511室,"应用软件,电子商贸及互联网服务,资讯科技器材","互联网与直销零售,交易与支付处理服务,摄影产品,综合金融服务,贸易公司与经销商"
1922.HK,瑞森生活服务,瑞森生活服务有限公司,"Ruisen Life Service Co, Limited",2026/04/09,2019/11/06,被取消上市地位,3.633267200,"该公司未能于2026年2月27日或之前履行联交所订下的复牌指引而复牌。该公司亦未能证明其适合上市。于2026年3月20日,上市委员会决定根据《上市规则》第6.01A(1)及6.01(4)条取消该公司股份在联交所的上市地位。",开曼群岛,中国江苏省南京市江东北路289号银城广场A座5楼,物业服务及管理,房地产经营公司
0459.HK,鋑联控股,鋑联控股有限公司,Legend Upstar Holdings Limited,2026/03/31,2001/03/15,私有化,2.40102586864,股份于联交所主板的上市地位将自二零二六年三月三十日(星期一)下午四时正(香港时间)起撤销。,开曼群岛,香港德辅道中19号环球大厦25楼2505-8室,地产代理,房地产服务
0663.HK,金山能源,金山能源集团有限公司,King Stone Energy Group Limited,2026/03/26,1990/11/30,被取消上市地位,1.21100350068,"该公司的股份自2024年4月2日起已暂停买卖。根据《上市规则》第6.01A(1)条,若该公司未能于2025年10月1日或之前复牌,联交所可将该公司除牌。该公司未能于2025年10月1日或之前履行联交所订下的复牌指引而复牌。于2025年10月31日,上市委员会决定根据《上市规则》第6.01A(1)条取消该公司股份在联交所的上市地位。",香港中环中环皇后大道中138号威享大厦17楼,香港中环中环皇后大道中138号威享大厦17楼,"煤炭,综合企业,黄金及贵金属","多领域控股,煤与消费用燃料,特殊金融服务"
1495.HK,集一控股,集一控股有限公司,Jiyi Holdings Limited,2026/03/26,2015/11/06,被取消上市地位,0.25849021156,"该公司未能于2025年10月1日或之前履行联交所订下的复牌指引而复牌。于2025年11月7日,上市委员会决定根据《上市规则》第6.01A(1)条取消该公司股份在联交所的上市地位。",开曼群岛,中国广东省梅州市梅县区宪梓中路2号,"其他零售商,建筑材料,楼宇建造",贸易公司与经销商
0489.HK,东风集团股份,东风汽车集团股份有限公司 - H股,Dongfeng Motor Group Co. Ltd. - H Shares,2026/03/19,2005/12/07,私有化,787.296895200,东风汽车集团(武汉)投资有限公司通过吸收合并的方式将东风汽车集团股份有限公司私有化,湖北省武汉市蔡甸区武汉经济技术开发区东风大道特1号,湖北省武汉市蔡甸区武汉经济技术开发区东风大道特1号,"商业用车及货车,汽车",汽车制造商
0802.HK,中国钱包,中国钱包支付集团有限公司,China e-Wallet Payment Group Limited,2026/03/16,2009/02/10,被取消上市地位,0.2715956766,"该公司未能于2025年10月1日或之前履行联交所订下的复牌指引而复牌。于2025年10月24日,上市委员会决定根据《上市规则》第6.01A(1)条取消该公司股份在联交所的上市地位。",百慕大,香港新界葵涌工业街10-14号华发工业大厦24楼7I室,系统开发及资讯科技顾问,"应用软件,贸易公司与经销商"
8211.HK,浙江永安,浙江永安融通控股股份有限公司,"Zhejiang Yongan Rongtong Holdings Co., Ltd.",2026/03/16,2002/11/08,被取消上市地位,0.499845000,"该公司未能于2026年2月20日或之前履行联交所订下的复牌指引而复牌。于2026年2月27日,GEM上市委员会决定根据《GEM规则》第9.14A(1)条取消该公司股份在联交所的上市地位。",中国浙江省绍兴市柯桥区湖塘街道西屋工业园,中国浙江省绍兴市柯桥区湖塘街道西屋工业园,纺织品及布料,纺织品
8063.HK,环球大通集团,环球大通集团有限公司,Global Mastermind Holdings Limited,2026/03/16,2000/12/07,被取消上市地位,0.11237462434,"该公司未能于2026年2月18日或之前履行联交所订下的复牌指引而复牌。于2026年2月27日,GEM上市委员会决定根据《GEM规则》第9.14A(1)条取消该公司股份在联交所的上市地位。",开曼群岛,香港长沙湾长裕街18号柏裕工业中心9楼D16室,"信贷,其他金融,旅游及观光","特殊金融服务,贸易公司与经销商,酒店、度假村与豪华游轮"
0230.HK,五矿地产,五矿地产有限公司,Minmetals Land Limited,2026/03/04,1991/12/20,私有化,33.469080370,--,百慕大,香港九龙尖沙咀漆咸道南七十九号中国五矿大厦十八楼,地产发展商,房地产开发
8257.HK,靖洋集团,靖洋集团控股有限公司,Genes Tech Group Holdings Company Limited,2026/03/04,2017/07/14,私有化,2.440000000,--,开曼群岛,台湾30244新竹县竹北市保泰三路80号,"半导体,半导体设备与材料",半导体材料与设备
2448.HK,恒宇集团,恒宇集团控股有限公司,Space Group Holdings Limited,2026/02/26,2018/01/16,被取消上市地位,0.261144000,"该公司的股份自2024年7月15日起已暂停买卖。根据《上市规则》第6.01A(1)条,若该公司未能于2026年1月14日或之前复牌,联交所可将该公司除牌。该公司未能于2026年1月14日或之前履行联交所订下的复牌指引而复牌。于2026年2月6日,上市委员会决定根据《上市规则》第6.01A(1)条取消该公司股份在联交所的上市地位。",开曼群岛,澳门毕仕达大马路18号中福商业中心8C,楼宇建造,建筑与工程
9666.HK,金科服务,金科智慧服务集团股份有限公司,"Jinke Smart Services Group Co., Ltd.",2026/02/23,2020/11/17,私有化,51.600220650,--,中国重庆市江北区石马河街道盘溪路484号附1号,中国重庆市江北区石马河街道盘溪路480号金科十年城东区A4栋,物业服务及管理,房地产服务
1189.HK,大湾区聚变力量,大湾区聚变力量控股有限公司,Greater Bay Area Dynamic Growth Holding Limited,2026/02/16,1997/10/06,被取消上市地位,0.37882130208,"该公司未能于2025年10月1日或之前履行联交所订下的复牌指引而复牌。于2025年10月17日,上市委员会决定根据《上市规则》第6.01A(1)条取消该公司股份在联交所的上市地位。",百慕大,香港九龙尖沙咀赫德道8号3楼D室,酒店及度假村,酒店、度假村与豪华游轮
9956.HK,安能物流,安能物流集团有限公司,ANE (Cayman) Inc.,2026/02/10,2021/11/11,私有化,143.2628246029,--,开曼群岛,中国上海市青浦区华新镇嘉松中路3899号,"公路运输,航空货运及物流","地面货运,陆运"
0009.HK,金奥国际,金奥国际股份有限公司,Keyne Ltd,2026/02/02,2001/09/12,被取消上市地位,0.46394278177,"该公司的股份自2024年4月2日起已暂停买卖。根据《上市规则》第6.01A(1)条,若该公司未能于2025年10月1日或之前复牌,联交所可将该公司除牌。该公司未能于2025年10月1日或之前履行联交所订下的复牌指引而复牌。于2025年10月10日,上市委员会决定根据《上市规则》第6.01A(1)条取消该公司股份在联交所的上市地位。",百慕大,香港荃湾青山公路荃湾段459-469号华力工业中心11楼A-B室,"地产发展商,地产投资,影视娱乐","工业REIT,房地产经营公司,电影与娱乐,酒店及度假村房地产投资信托"
80011.HK,恒生银行-R,恒生银行有限公司,Hang Seng Bank Ltd.,2026/01/28,2023/06/19,私有化,2894.4274936563,"恒生银行已向香港联交所申请,而香港联交所已批准撤销恒生银行股份在香港联交所的上市地位,自2026年1月27日(星期二)下午4时正起生效,惟须待计划变成具约束力且生效后方告作实。",香港德辅道中83号,香港德辅道中83号,银行,综合性银行
0011.HK,恒生银行,恒生银行有限公司,Hang Seng Bank Ltd.,2026/01/28,1972/06/20,私有化,2889.942618048,"恒生银行已向香港联交所申请,而香港联交所已批准撤销恒生银行股份在香港联交所的上市地位,自2026年1月27日(星期二)下午4时正起生效,惟须待计划变成具约束力且生效后方告作实。",香港德辅道中83号,香港德辅道中83号,银行,综合性银行
0593.HK,梦东方,梦东方集团有限公司,DreamEast Group Limited,2026/01/27,1993/07/27,被取消上市地位,1.0370124722,该公司未能于2025年9月10日或之前履行联交所订下的复牌指引而复牌。,百慕大,香港铜锣湾恩平道28号利园二期29楼,"医疗保健设备,地产发展商","保健护理机构,房地产经营公司"
8215.HK,第一信用,第一信用金融集团有限公司,First Credit Finance Group Limited,2026/01/16,2011/12/13,被取消上市地位,3.919104000,"该公司未能于2025年9月25日或之前履行联交所订下的复牌指引而复牌。于2025年10月3日,GEM上市委员会决定根据《GEM规则》第9.14A(1)条取消该公司股份在联交所的上市地位。",百慕大,香港九龙观塘伟业街172号坚德工业大厦4楼B单位,信贷,综合金融服务
1263.HK,栢能集团,栢能集团有限公司,PC Partner Group Limited,2026/01/15,2012/01/12,被取消上市地位,21.6439086744,"作为其增长策略其中一环,公司已将业务拓展至亚太区之新市场(尤其是东南亚),并将其总部迁至新加坡,同时于印度尼西亚巴淡增设工厂。更进一步于新加坡作主要上市,让公司在东南亚建立战略据点,进一步推动其拓展计划,公司相信此举将有助于公司更有效地捕捉该等地区之商机,包括提高向其主要供应商采购高端GPU之灵活性。尽管公司已成功将其总部迁往新加坡,并把握了自于新加坡交易所上市以来之新商机,惟游戏GPU之技术将继续进步,无法保证集团不会受到未来贸易限制及关税方面之变动影响,因而可能对公司目前之业务状况造成挑战。因此,公司计划于新加坡交易所作主要上市,配合建议从港交所除牌,预期将进一步落实集团将总部设于新加坡将可提高公司日后向其主要供应商采购高端GPU之灵活性之目标。有见及此,公司建议于港交所主板撤回上市,同时维持其于新加坡交易所主板之主要上市地位,以提高其未来营运之灵活性,并降低维持双重上市地位之行政成本。董事相信,建议从港交所除牌符合股东及公司整体之最佳利益。",开曼群岛,--,电脑及周边器材,"电脑存储与外围设备,电脑硬件、储存设备及电脑周边"
2019.HK,德信中国,德信中国控股有限公司,Dexin China Holdings Company Limited,2026/01/07,2019/02/26,被取消上市地位,2.523939850,"该公司未能于2025年12月10日或之前履行联交所订下的复牌指引而复牌。于2025年12月18日,上市委员会决定根据《上市规则》第6.01A(1)条取消该公司股份在联交所的上市地位。",开曼群岛,中国浙江省杭州市江干区环站东路588号,地产发展商,房地产开发
6689.HK,洪九果品,重庆洪九果品股份有限公司,"Chongqing Hongjiu Fruit Co., Limited",2025/12/30,2022/09/05,被取消上市地位,27.9455554644,该公司未能于2025年9月19日或之前履行联交所订下的复牌指引而复牌。,中国重庆市石柱土家族自治县南宾镇城南居委白岩组工业孵化楼509-36号,重庆市两江新区东湖南路3号中铁峰汇国际B座24楼,农产品,食品分销商
9997.HK,康基医疗,康基医疗控股有限公司,Kangji Medical Holdings Limited,2025/12/10,2020/06/29,私有化,111.135448000,--,开曼群岛,中国浙江省杭州市桐庐经济开发区春江东路1668号,医疗设备及用品,医疗保健设备
7855.HK,TECHSTARACQ-Z,TechStar Acquisition Corporation,TechStar Acquisition Corporation,2025/12/10,2022/12/23,私有化,13.198050000,--,开曼群岛,香港九龙柯士甸道西1号环球贸易广场15楼1506B室,--,投资银行业与经纪业
2708.HK,艾伯科技,艾伯科技股份有限公司,Ibo Technology Company Limited,2025/12/08,2017/12/28,被取消上市地位,1.81367493888,"该公司未能于2025年10月28日或之前履行联交所订下的复牌指引而复牌。于2025年11月21日,上市委员会决定根据《上市规则》第6.01A(1)条取消该公司股份在联交所的上市地位。",开曼群岛,中国深圳市南山区高新科技园北区朗山路13号紫光信息港C栋4层,"应用软件,系统开发及资讯科技顾问","互联网服务和基础设施,互联网软件与服务"
0207.HK,大悦城地产,大悦城地产有限公司,Joy City Property Limited,2025/11/28,1973/03/06,私有化,88.2329741196,"计划生效后,所有计划股份将被注销,而与计划股份有关的股票将不再作为所有权文件或所有权凭证。本公司将于计划生效后,根据上市规则第6.15(2)条,立即向联交所申请撤销股份于联交所的上市地位。",百慕大,香港铜锣湾告士打道262号中粮大厦33楼,"地产发展商,地产投资","多样化房地产活动,多领域控股"
6122.HK,九台农商银行,吉林九台农村商业银行股份有限公司 - H股,Jilin Jiutai Rural Commercial Bank Corporation Ltd. - H Shs,2025/11/25,2017/01/12,私有化,20.8041854329,"根据中国法律及本行的公司章程,要约人无权强制收购并未根据H股要约提呈接纳的H股。因此,独立H股股东务请注意,由于H股将从联交所退市,未接纳H股要约的独立H股股东将持有并非于联交所或任何其他证券交易所上市的证券,而该等证券的流通性可能大幅降低。此外,于完成H股要约后,本行将不再受上市规则的规定所限,且未必会继续遵守收购守则(视乎此后就收购守则而言其是否仍为香港的公众公司而定)。",吉林省长春市九台区新华大街504号,中国吉林省长春市高新区蔚山路2559号,银行,综合性银行
6638.HK,金融壹账通,壹账通金融科技有限公司,"Oneconnect Financial Technology Co., Ltd.",2025/11/24,2022/07/04,私有化,23.9846033865,--,开曼群岛,中国广东省深圳市福田区益田路5033号平安金融中心21/24层,"应用软件,数码解决方案服务",--
2066.HK,盛京银行,盛京银行股份有限公司 - H股,"Shengjing Bank Co., Ltd - H Shares",2025/11/21,2014/12/29,私有化,138.987547160,--,沈阳市沈河区北站路109号,辽宁省沈阳市沈河区北站路109号,银行,综合性银行
8001.HK,东方汇财证券,东方汇财证券国际控股有限公司,Orient Securities International Holdings Limited,2025/11/17,2014/01/15,被取消上市地位,0.233902080,"该公司未能于2025年7月17日或之前履行联交所订下的复牌指引而复牌。于2025年8月15日,GEM上市委员会决定根据《GEM规则》第9.14A(1)条取消该公司股份在联交所的上市地位。",开曼群岛,香港中环皇后大道中16–18号新世界大厦一期22楼2203及2204室,"信贷,证券及经纪","投资银行业与经纪业,消费信贷"
1730.HK,贤能集团,贤能集团有限公司,Lhn Limited,2025/11/05,2017/12/29,被取消上市地位,19.4043114868,贤能集团有限公司*股份(‘股份’)已于2025年10月30日(星期四)下午四时正终止于香港联合交易所有限公司(‘联交所’)主板买卖。股份于联交所的上市地位将于2025年11月4日(星期二)下午四时正撤销。,新加坡,香港德辅道中4-4A号渣打银行大厦5楼,地产投资,房地产经营公司
1185.HK,中国航天万源,中国航天万源国际(集团)有限公司,China Energine International (Holdings) Limited,2025/11/04,1997/08/11,被取消上市地位,1.7475982672,"该公司未能于2025年10月1日或之前履行联交所订下的复牌指引而复牌。于2025年10月17日,上市委员会决定根据《上市规则》第6.01A(1)条取消该公司股份在联交所的上市地位。",开曼群岛,香港观塘开源道52-54号丰利中心8楼8室,"公用事业,环保工程","新能源发电业者,重型电气设备"
8363.HK,SDM教育,SDM教育集团控股有限公司,SDM Education Group Holdings Limited,2025/11/04,2014/10/14,被取消上市地位,0.68574628496,"该公司未能于2025年10月1日或之前履行联交所订下的复牌指引而复牌。于2025年10月17日,GEM上市委员会决定根据《GEM规则》第9.14A(1)条取消该公司股份在联交所的上市地位。",开曼群岛,香港九龙观塘巧明街111–113号富利广场7楼706室,"其他支援服务,教育",教育服务
9876.HK,大洋环球控股,大洋环球控股有限公司,Ocean One Holding Ltd.,2025/11/03,2017/10/19,转板,13.496000000,--,开曼群岛,香港荃湾白田坝街36–44号信义工业大厦5楼B室,包装食品,包装食品与肉类
3326.HK,保发集团,保发集团国际控股有限公司,Perfect Group International Holdings Limited,2025/11/03,2016/01/04,私有化,3.310993440,"待计划生效后,所有计划股份将予注销及剔除(同时向要约人发行相等数目并入账列作缴足的新股份),计划股份的股票其后将不再具有所有权文件或凭证的效力。公司将根据上市规则第6.15条申请撤销股份于联交所的上市地位,自生效日期起生效。",开曼群岛,香港九龙常悦道1号恩浩国际中心26楼,珠宝钟表,"房地产开发,服装、服饰与奢侈品"
6900.HK,上坤地产,上坤地产集团有限公司,Sunkwan Properties Group Limited,2025/10/27,2020/11/17,被取消上市地位,0.269482200,"该公司未能于2025年10月1日或之前履行联交所订下的复牌指引而复牌。于2025年10月10日,上市委员会决定根据《上市规则》第6.01A(1)条取消该公司股份在联交所的上市地位。",开曼群岛,中国上海市闵行区上坤路77弄上坤中心T1幢,地产发展商,房地产经营公司
2060.HK,浦江国际,浦江国际集团有限公司,Pujiang International Group Limited,2025/10/27,2019/05/28,被取消上市地位,1.561138400,"该公司未能于2025年10月1日或之前履行联交所订下的复牌指引而复牌。于2025年10月10日,上市委员会决定根据《上市规则》第6.01A(1)条取消该公司股份在联交所的上市地位。",开曼群岛,中国上海商城路518号16楼,建筑材料,建筑材料
0589.HK,建中建设,建中建设发展有限公司,Jianzhong Construction Development Limited,2025/10/27,2020/03/18,被取消上市地位,1.187500000,"该公司未能于2025年10月1日或之前履行联交所订下的复牌指引而复牌。于2025年10月10日,上市委员会决定根据《上市规则》第6.01A(1)条取消该公司股份在联交所的上市地位。",开曼群岛,中国福建省福州市马尾区兆锵路33号金澜大厦2002室,重型基建,建筑与工程
6606.HK,诺辉健康,诺辉健康,New Horizon Health Limited,2025/10/27,2021/02/18,被取消上市地位,63.4539015712,"该公司未能于2025年9月27日或之前履行联交所订下的复牌指引而复牌。于2025年10月10日,上市委员会决定根据《上市规则》第6.01A(1)条取消该公司股份在联交所的上市地位。",开曼群岛,中国浙江杭州滨江区江二路400号T1幢13层,医疗设备及用品,医疗保健设备
1034.HK,富汇国际集团控股,富汇国际集团控股有限公司,Fullwealth International Group Holdings Limited,2025/10/15,2018/10/30,被取消上市地位,2.400000000,"该公司未能于2025年9月11日或之前履行联交所订下的复牌指引而复牌。于2025年9月26日,上市委员会决定根据《上市规则》第6.01A(1)条取消该公司股份在联交所的上市地位。",开曼群岛,香港九龙观塘鸿图道52号10楼D12室,重型基建,建筑与工程
0812.HK,西证国际证券,西证国际证券股份有限公司,Southwest Securities International Securities Limited,2025/09/29,2002/01/30,被取消上市地位,1.0985491839,"该公司的股份自2024年3月4日起已暂停买卖。根据《上市规则》第6.01A(1)条,若该公司未能于2025年9月3日或之前复牌,联交所可将该公司除牌。",百慕大,香港铜锣湾希慎道壹号14楼,"投资及资产管理,证券及经纪",资产管理与托管银行
0226.HK,力宝,力宝有限公司,Lippo Ltd.,2025/09/26,1973/03/01,私有化,3.4027628208,--,香港金钟道八十九号力宝中心二座四十楼,香港金钟道八十九号力宝中心二座四十楼,"地产投资,餐饮","房地产开发,房地产经营公司,食品分销商"
2292.HK,晋安实业,晋安实业有限公司,Thing On Enterprise Limited,2025/09/19,2018/01/16,私有化,5.544000000,--,开曼群岛,香港湾仔告士打道56号东亚银行港湾中心17楼,地产投资,多样化房地产投资信托
1699.HK,普甜食品,中国普甜食品控股有限公司,China Putian Food Holding Limited,2025/09/11,2012/07/13,被取消上市地位,0.899600000,"该公司的股份自2023年4月3日起已暂停买卖。根据《上市规则》第6.01A(1)条,若该公司未能于2024年10月2日或之前复牌,联交所有权将该公司除牌。该公司未能于2024年10月2日或之前履行联交所订下的复牌指引而复牌。于2024年10月18日,上市委员会决定根据《上市规则》第6.01A(1)条取消该公司股份在联交所的上市地位。",开曼群岛,中国福建省莆田市城厢区华林经济开发区华林路,禽畜肉类,包装食品与肉类
0925.HK,北京建设,北京建设(控股)有限公司,Beijing Properties (Holdings) Limited,2025/09/01,1998/01/15,私有化,9.6873710352,--,百慕大,香港湾仔港湾道18号中环广场66楼,"地产,家庭电器及用品,工用运输,建筑,航空货运及物流,重型基建","多领域控股,家庭装饰品,房地产开发,航空货运与物流,贸易公司与经销商"
0102.HK,凯升控股,凯升控股有限公司,Summit Ascent Holdings Limited,2025/09/01,1994/01/10,被取消上市地位,2.1194389573,"联交所宣布,由2025年9月1日上午9时起,该公司的上市地位将根据《上市规则》第6.01A(1)条予以取消。该公司的股份自2024年1月11日起已暂停买卖。根据《上市规则》第6.01A(1)条,若该公司未能于2025年7月10日或之前复牌,联交所可将该公司除牌。该公司未能于2025年7月10日或之前履行联交所订下的复牌指引而复牌。于2025年8月15日,上市委员会决定根据《上市规则》第6.01A(1)条取消该公司股份在联交所的上市地位。",百慕大,香港干诺道中200号信德中心西翼17楼1704室,"建筑材料,赌场及博彩",赌场与赌博
1383.HK,LET GROUP,LET Group Holdings Limited,LET Group Holdings Limited,2025/09/01,2007/02/22,被取消上市地位,2.98289828078,"联交所宣布,由2025年9月1日上午9时起,该公司的上市地位将根据《上市规则》第6.01A(1)条予以取消。该公司的股份自2024年1月11日起已暂停买卖。根据《上市规则》第6.01A(1)条,若该公司未能于2025年7月10日或之前复牌,联交所可将该公司除牌。该公司未能于2025年7月10日或之前履行联交所订下的复牌指引而复牌。于2025年8月15日,上市委员会决定根据《上市规则》第6.01A(1)条取消该公司股份在联交所的上市地位。",开曼群岛,香港干诺道中168–200号信德中心西座17楼1705室,"地产发展商,旅游及观光,酒店及度假村","房地产开发,赌场与赌博,酒店、度假村与豪华游轮"
3333.HK,中国恒大,中国恒大集团,China Evergrande Group,2025/08/25,2009/11/05,被取消上市地位,21.523010467,"该公司未能于2025年7月28日或之前履行联交所订下的复牌指引而复牌。于2025年8月8日,上市委员会决定根据《上市规则》第6.01A(1)条取消该公司股份在联交所的上市地位。
",开曼群岛,中国广东省广州市天河区黄埔大道西78号,地产发展商,房地产开发
2217.HK,谭仔国际,谭仔国际有限公司,Tam Jai International Co. Limited,2025/08/20,2021/10/07,私有化,21.144444273,"就公司而言(a)提供更佳的灵活性、知识、相关资源及专业知识,可有效且高效地实现公司的长期战略目标。为公司及公司旗下品牌创造更高价值。公司在海外扩展方面未能充分发挥效力。要约人拥有相关资源及专业知识,可支持公司更有效地扩展海外业务及加强公司内部以应对行业逆境的挑战。要约人相信,成功私有化将为公司提供更大的灵活性、知识及专业知识,以制订及执行长远发展策略。这包括业务策略提升,旨在:(1)提升公司的核心竞争力,并相应调整在不同市场的扩张计划;(2)利用要约人的相关资源及专业知识,迅速处理表现欠佳的业务,并在香港以外地区建立可持续的业务模式;(3)利用要约人的成功市场推广策略,加强公司的国际品牌及市场推广工作,以提升渗透新市场的整体成效;及(4)与要约人更紧密结合,以协同营运及合并总部职能,从而优化成本。作为一家私人经营的企业,公司可以更有效率地实施策略,灵活应对瞬息万变的市场,不受资本市场预期、监管成本、披露义务、股价波动以及对短期市场及投资者情绪的敏感度的压力。(b)降低维持公司上市地位的成本私有化将简化公司治理,降低维持其上市地位的合规成本,包括监管要求、披露及财务报表出版。降低企业开支有利于公司在行业逆境中提高盈利能力。(c)作为要约人的全资附属公司,获得更多筹资途径作为日本的上市公司,要约人的母公司Toridoll日本可进入资本市场进行筹资活动,并有能力获得更具竞争力的融资选择。此财务实力可以支持Toridoll日本及公司的资本需求与长期发展。私有化完成后,公司将成为Toridoll日本的间接全资附属公司。毋须遵守有关作为一间单独上市公司的规定,公司将能够直接利用要约人更强大的财务实力为其未来投资提供资金。",香港九龙长沙湾长义街9号D2 Place ONE 8楼,香港九龙长沙湾长义街9号D2 Place ONE 8楼,餐饮,餐馆
1360.HK,诺发集团,诺发集团控股有限公司,NOVA Group Holdings Limited,2025/08/07,2013/11/06,被取消上市地位,0.24649839324,"该公司未能于2025年4月2日或之前履行联交所订下的复牌指引而复牌。于2025年4月11日,上市委员会决定根据《上市规则》第6.01A(1)条取消该公司股份在联交所的上市地位。",开曼群岛,香港九龙九龙湾宏照道19号金利丰国际中心8楼E2室,广告及宣传,"消费信贷,综合支持服务"
1558.HK,东阳光长江药业,宜昌东阳光长江药业股份有限公司 - H股,"YiChang HEC ChangJiang Pharmaceutical Co., Ltd. - H Shares",2025/08/06,2015/12/29,私有化,139.738870760,--,中国湖北省宜昌宜都市滨江路38号,中国湖北省宜昌宜都市滨江路38号,药品,制药
9977.HK,凤祥股份,山东凤祥股份有限公司,"Shandong Fengxiang Co., Ltd.",2025/08/01,2020/07/16,私有化,31.508625200,--,中国山东省聊城市阳谷县安乐镇刘庙村,中国山东省聊城市阳谷县安乐镇刘庙村,禽畜肉类,包装食品与肉类
8523.HK,常满控股,常满控股有限公司,Sheung Moon Holdings Limited,2025/07/28,2018/02/12,被取消上市地位,0.904000000,"该公司未能于2025年7月2日或之前履行联交所订下的复牌指引而复牌。于2025年7月11日,GEM上市委员会决定根据《GEM规则》第9.14A(1)条取消该公司股份在联交所的上市地位。",开曼群岛,香港九龙永康街79号创汇国际中心27楼D室,"楼宇建造,重型基建",建筑与工程
8167.HK,中国新电信,中国新电信集团有限公司,Neo Telemedia Ltd.,2025/07/17,2002/08/06,被取消上市地位,1.99965871245,"该公司未能于2025年4月1日或之前履行联交所订下的复牌指引而复牌。于2025年4月17日,GEM上市委员会决定根据《GEM规则》第9.14A(1)条取消该公司股份在联交所的上市地位。",开曼群岛,香港九龙尖沙咀么地道68号帝国中心11楼07B&08B室,"媒体及娱乐,消费性电讯设备","互联网服务和基础设施,广告,无线电信业务,综合电信业务"
1821.HK,ESR,ESR Group Limited,ESR Group Limited,2025/07/04,2019/11/01,私有化,549.6562609648,--,开曼群岛,香港中环康乐广场8号交易广场二期2905-06室,投资及资产管理,综合支持服务
7827.HK,VISION DEAL-Z,Vision Deal HK Acquisition Corp.,Vision Deal HK Acquisition Corp.,2025/06/30,2022/06/10,被取消上市地位,3.757632000,"基于该公司未能符合第18B.69条的公告期限,亦没有理据免除遵守第18B.69条的要求,该公司的有关证券自2024年12月10日起已暂停买卖。",开曼群岛,香港铜锣湾希慎道33号利园一期19楼1919室,--,投资银行业与经纪业
8353.HK,安科系统,安科系统有限公司,Anacle Systems Limited,2025/06/11,2016/12/16,私有化,4.4360397952,--,新加坡,--,应用软件,--
1381.HK,粤丰环保,粤丰环保电力有限公司,Canvest Environmental Protection Group Company Limited,2025/06/03,2014/12/29,私有化,119.1472090472,--,开曼群岛,香港上环德辅道西9号28楼,非传统/可再生能源,电力公用事业
8045.HK,南大苏富特,江苏南大苏富特科技股份有限公司 - H股,Jiangsu Nandasoft Technology Co. Ltd. - H Shares,2025/05/08,2001/04/24,被取消上市地位,0.830220000,"该公司未能于2025年4月1日或之前履行联交所订下的复牌指引而复牌。于2025年4月17日,GEM上市委员会决定根据《GEM规则》第9.14A(1)条取消该公司股份在联交所的上市地位。",中国南京市清江南路19号南大苏富特科技创新园,中国南京市清江南路19号南大苏富特科技创新园,"互联网服务及基础设施,系统开发及资讯科技顾问",电脑与电子产品零售
8607.HK,纳尼亚集团,纳尼亚(香港)集团有限公司,Narnia (Hong Kong) Group Company Limited,2025/05/08,2019/02/26,被取消上市地位,0.336000000,"该公司未能于2025年4月1日或之前履行联交所订下的复牌指引而复牌。于2025年4月17日,GEM上市委员会决定根据《GEM规则》第9.14A(1)条取消该公司股份在联交所的上市地位。",开曼群岛,中国浙江省湖州市长兴县夹浦经济开发区,纺织品及布料,纺织品
2148.HK,Vesync,"Vesync Co., Ltd","Vesync Co., Ltd",2025/05/08,2020/12/18,私有化,63.469748960,--,开曼群岛,香港湾仔皇后大道东248号阳光中心40楼,家庭电器,家用电器
0715.HK,中泛控股,中泛控股有限公司,China Oceanwide Holdings Limited,2025/04/24,1991/07/05,被取消上市地位,4.035663265,"该公司未能于2025年3月24日或之前履行联交所订下的复牌指引而复牌。于2025年4月7日,上市委员会决定根据《上市规则》第6.01A(1)条取消该公司股份在联交所的上市地位。",百慕大,香港花园道1号中银大厦64楼,"地产投资,资讯科技器材",房地产经营公司
0906.HK,中粮包装,中粮包装控股有限公司,Cpmc Holdings Ltd.,2025/04/22,2009/11/16,私有化,79.387059900,--,香港铜锣湾告士打道262号中粮大厦33楼,中国浙江省杭州市杭州经济技术开发区围垦街160号,"印刷及包装,家庭电器及用品,支援服务",金属、玻璃和塑料容器
7801.HK,Interra Acq-Z,Interra Acquisition Corporation,Interra Acquisition Corporation,2025/04/10,2022/09/16,被取消上市地位,3.404181000,"上市委员会于2025年3月21日决定,待该公司完成退回资金(其后于2025年4月3日完成)后,便根据《上市规则》第18B.74条取消该公司有关证券于联交所的上市地位。",开曼群岛,香港铜锣湾希慎道33号利园一期19楼1920室,--,投资银行业与经纪业
