view,agg,window,pool,n_obs,ic,t_stat,ls_spread,ls_t_stat
chapter,mean,d1_close,all,361,0.0003485206278206192,0.006603523662004501,0.04571099689193272,1.1599416300011118
chapter,mean,d1_close,main_profitable,266,-0.07893378018807118,-1.2865362947145094,-0.02815806337941771,-0.6405550324277809
chapter,mean,d1_close,main_all,314,-0.07267798220169396,-1.2871530475605668,-0.03413085372871468,-0.9733882905718447
chapter,median,d1_close,all,361,0.0071312802934421935,0.1351219096069736,0.02508694190100701,0.8537153714916954
chapter,median,d1_close,main_profitable,266,-0.0732059053856579,-1.1926552488477438,0.017669188531529916,0.49094641978753467
chapter,median,d1_close,main_all,314,-0.04346938420302041,-0.7685488760385275,0.005716752876130841,0.18182957253980217
chapter,top3_recent_mean,d1_close,all,361,0.025225431987889867,0.47810584842807696,0.042798556572279184,1.0441609083286694
chapter,top3_recent_mean,d1_close,main_profitable,266,-0.010788089591740019,-0.17529590932984387,-0.031244948582459374,-0.7652248162934823
chapter,top3_recent_mean,d1_close,main_all,314,0.0004125658842680072,0.007287367083113881,-0.004814660798456742,-0.13341525449506894
chapter,n_peers,d1_close,all,361,-0.07266880078219289,-1.3805271666614982,-0.009343340404472766,-0.27145764832424246
chapter,n_peers,d1_close,main_profitable,266,0.016899873634255616,0.27462966557989044,0.05982164874056471,1.5798387698057708
chapter,n_peers,d1_close,main_all,314,-0.023780222843221118,-0.4201613001959876,0.035193635348214215,1.14938074743331
chapter,mean,d30,all,347,0.0852580234284993,1.5893845990875426,0.14795425956485167,1.6945270857386425
chapter,mean,d30,main_profitable,258,0.0008696862050823539,0.01391498454364643,0.0014651499738379467,0.01694088813220163
chapter,mean,d30,main_all,303,0.044804923435516404,0.7781177896514885,0.01613190917635806,0.23789078604877031
chapter,median,d30,all,347,0.10894261997086535,2.0356353765678716,0.12686017697037522,1.517938786509761
chapter,median,d30,main_profitable,258,0.040192892915647135,0.6436063597213015,0.04377851361329273,0.4864384907339701
chapter,median,d30,main_all,303,0.07776146355143414,1.353208494798776,0.018497419557400634,0.2741007972981205
chapter,top3_recent_mean,d30,all,347,-0.05622639427608056,-1.0460136683699675,-0.07501289409192191,-0.9750985796842788
chapter,top3_recent_mean,d30,main_profitable,258,-0.10661702837604232,-1.715651391508636,-0.13785668453838285,-1.6550367565045603
chapter,top3_recent_mean,d30,main_all,303,-0.09917457444704783,-1.7291391291661111,-0.11244512979940517,-1.567875400522521
chapter,n_peers,d30,all,347,-0.04518131621637616,-0.8400635726664175,-0.08583919376971778,-0.977386729001774
chapter,n_peers,d30,main_profitable,258,0.07412358067512333,1.1892488387588436,0.08911976226475983,1.0640767842884282
chapter,n_peers,d30,main_all,303,0.018572064760518835,0.32226886450275544,0.04892653776107602,0.698034285931778
