ipo_id,stock_code,company_name,listing_date,listing_chapter,n_cornerstones,coverage,intl_oversub,nacs,Q_company,Q_ecosystem,R_lockup,decision,return_5d,return_30d,return_60d,return_180d,L1_veto,L2_veto,year,cs_total,aff_count,strong_aff,cluster_aff,aff_ratio
HK_2260_HK_2022,2260.HK,环龙控股,2022-01-11,main_board_profitable,2,28.7,1.31,0.1222666666666666,0.4,0.4,0.2358333333333333,SKIP,0.0,-0.008130081300813,-0.016260162601626,-0.1056910569105689,False,False,2022,2.0,0,0,0,0.0
HK_2250_HK_2022,2250.HK,小黄鸭德盈,2022-01-17,main_board_profitable,0,0.0,1.24,0.0,0.4,0.0,0.2358333333333333,SKIP,-0.121338912133891,-0.238493723849372,-0.230125523012552,-0.320157868186,False,False,2022,,0,0,0,0.0
HK_2121_HK_2022,2121.HK,创新奇智,2022-01-27,main_board_profitable,2,17.06,2.62,0.2709198489950938,0.6498041653566199,0.5455948274708456,0.2358333333333333,RELATIONSHIP,-0.119387755102041,-0.587244897959184,-0.0326530612244898,-0.110204081632653,False,False,2022,2.0,0,0,0,0.0
HK_9878_HK_2022,9878.HK,汇通达网络,2022-02-18,main_board_profitable,6,52.65,2.0497,0.3863936410137246,0.704774750084551,0.7174498425717354,0.2358333333333333,TRIAL,-0.0465631929046563,0.0266075388026607,0.0066518847006651,-0.237250554323725,False,False,2022,6.0,0,0,0,0.0
HK_1406_HK_2022,1406.HK,清晰医疗,2022-02-18,main_board_profitable,0,0.0,1.13,0.0,0.4,0.0,0.2358333333333333,SKIP,-0.064935064935065,-0.1883116883116879,-0.220779220779221,-0.246753246753247,False,False,2022,,0,0,0,0.0
HK_0816_HK_2022,0816.HK,金茂服务,2022-03-10,main_board_profitable,5,78.3,1.4,0.1222666666666666,0.4,0.4,0.2358333333333333,SKIP,-0.1413793103448269,-0.0982758620689654,-0.175862068965517,-0.374137931034483,False,False,2022,5.0,0,0,0,0.0
HK_6639_HK_2022,6639.HK,瑞尔集团,2022-03-22,main_board_profitable,5,74.66,1.62,0.2946077818668419,0.6367359123879754,0.6054757858389402,0.2358333333333333,RELATIONSHIP,0.0434782608695651,-0.0579710144927537,-0.13768115942029,-0.365942028985507,False,False,2022,5.0,0,0,0,0.0
HK_0587_HK_2022,0587.HK,海螺环保,2022-03-30,main_board_profitable,0,0.0,0.0,0.0,0.5016694579247366,0.0,0.2358333333333333,SKIP,0.0255885363357216,-0.357215967246673,-0.44114636642784,-0.6980552712384851,False,False,2022,,0,0,0,0.0
HK_9638_HK_2022,9638.HK,法拉帝,2022-03-31,main_board_profitable,5,53.02,2.06,0.3067115497837429,0.5966251757114523,0.6727294893195102,0.2358333333333333,RELATIONSHIP,0.0,-0.0415754923413568,-0.122113848089762,-0.073587477883668,False,False,2022,5.0,0,0,0,0.0
HK_2370_HK_2022,2370.HK,力高健康生活,2022-03-31,main_board_profitable,0,0.0,1.14,0.0,0.4,0.0,0.2358333333333333,SKIP,0.5926640926640929,0.714285714285715,1.12355212355212,-0.563706563706564,False,False,2022,,0,0,0,0.0
HK_2352_HK_2022,2352.HK,东原仁知服务,2022-04-29,main_board_profitable,0,0.0,1.56,0.0,0.6148289631154898,0.0,0.2358333333333333,SKIP,-0.0420168067226891,-0.0655462184873951,-0.176470588235294,-0.346218487394958,False,False,2022,,0,0,0,0.0
HK_2325_HK_2022,2325.HK,云康集团,2022-05-18,main_board_profitable,2,27.35,1.39,0.1069833333333333,0.4,0.35,0.2358333333333333,SKIP,0.0705882352941176,1.11764705882353,1.20470588235294,0.862162567936823,False,False,2022,2.0,0,0,0,0.0
HK_2347_HK_2022,2347.HK,友和集团,2022-06-10,main_board_profitable,0,0.0,1.23,0.0,0.4,0.0,0.2358333333333333,SKIP,-0.061904761904762,-0.238095238095238,-0.30952380952381,-0.585714285714286,False,False,2022,,0,0,0,0.0
HK_6667_HK_2022,6667.HK,美因基因,2022-06-22,main_board_profitable,3,81.03,2.05,0.3063508124009982,0.6577603589705062,0.609485320810708,0.2358333333333333,RELATIONSHIP,-0.0111111111111111,-0.021111111111111,-0.261111111111111,-0.388888888888889,False,False,2022,3.0,0,0,0,0.0
HK_2246_HK_2022,2246.HK,快狗打车,2022-06-24,main_board_profitable,2,74.3,1.4,0.1069833333333333,0.4,0.35,0.2358333333333333,SKIP,-0.3301435406698559,-0.697368421052632,-0.641148325358852,-0.857655502392345,False,False,2022,2.0,0,0,0,0.0
HK_2167_HK_2022,2167.HK,天润云,2022-06-30,main_board_profitable,2,31.905300000000004,1.27,0.1069833333333333,0.4,0.35,0.2358333333333333,SKIP,0.02803738317757,-0.2453271028037379,-0.267133956386293,-0.20404984423676,False,False,2022,2.0,0,0,0,0.0
HK_2372_HK_2022,2372.HK,伟立控股,2022-06-30,main_board_profitable,0,0.0,1.29,0.0,0.4,0.0,0.2358333333333333,SKIP,0.0476190476190477,-0.19047619047619,-0.341269841269841,-0.30952380952381,False,False,2022,,0,0,0,0.0
HK_9955_HK_2022,9955.HK,智云健康,2022-07-06,main_board_profitable,4,60.95,2.15,0.3029717240798747,0.6340351532821613,0.6253176271412443,0.2358333333333333,RELATIONSHIP,-0.024822695035461,-0.381560283687943,-0.475177304964539,-0.704609929078014,False,False,2022,4.0,0,0,0,0.0
HK_2392_HK_2022,2392.HK,玄武云,2022-07-08,main_board_profitable,1,10.9,2.09,0.1560161801925919,0.5833289179969164,0.35,0.2358333333333333,SKIP,-0.0764331210191083,-0.0461783439490446,-0.159235668789809,-0.504777070063694,False,False,2022,1.0,0,0,0,0.0
HK_2376_HK_2022,2376.HK,鲁商服务,2022-07-08,main_board_profitable,0,0.0,1.2,0.0,0.4,0.0,0.2358333333333333,SKIP,-0.187358916478555,-0.343115124153499,-0.45372460496614,-0.521444695259594,False,False,2022,,0,0,0,0.0
HK_2361_HK_2022,2361.HK,中康科技控股,2022-07-12,main_board_profitable,4,32.53,1.36,0.1222666666666666,0.4,0.4,0.2358333333333333,SKIP,0.119402985074627,-0.17910447761194,-0.347014925373134,-0.167910447761194,False,False,2022,4.0,0,0,0,0.0
HK_2385_HK_2022,2385.HK,读书郎,2022-07-12,main_board_profitable,8,54.23,1.62,0.1482536232704232,0.4850173062282112,0.4,0.2358333333333333,SKIP,0.023611111111111,-0.0472222222222221,-0.0486111111111111,0.0666666666666666,False,False,2022,8.0,0,0,0,0.0
HK_9896_HK_2022,9896.HK,名创优品,2022-07-13,main_board_profitable,0,0.0,4.84,0.0,0.7381285309272079,0.0,0.2358333333333333,SKIP,0.070254110612855,-0.155455904334828,-0.124869284478486,1.70215799880327,False,False,2022,,0,0,0,0.0
HK_6686_HK_2022,6686.HK,诺亚控股,2022-07-13,main_board_profitable,0,0.0,5.9,0.0,0.7021824341083392,0.0,0.2358333333333333,SKIP,-0.017921146953405,-0.03584229390681,-0.222939068100358,-0.032258064516129,False,False,2022,,0,0,0,0.0
HK_6661_HK_2022,6661.HK,湖州燃气,2022-07-13,main_board_profitable,4,63.0,1.18,0.1222666666666666,0.4,0.4,0.2358333333333333,SKIP,0.0714285714285715,-0.1375,-0.0071428571428571,-0.0178571428571428,False,False,2022,4.0,3,1,2,0.75
HK_2418_HK_2022,2418.HK,德银天下,2022-07-15,main_board_profitable,3,20.87,1.41,0.1805262558284517,0.4,0.5905984378248149,0.2358333333333333,SKIP,-0.088888888888889,-0.338888888888889,-0.427777777777778,-0.494444444444444,False,False,2022,3.0,0,0,0,0.0
HK_2172_HK_2022,2172.HK,微创脑科学,2022-07-15,main_board_profitable,2,65.0,2.14,0.1689000099143921,0.6315002707501809,0.35,0.2358333333333333,SKIP,-0.0020325203252032,-0.0081300813008131,0.0081300813008129,-0.378048780487805,False,False,2022,2.0,0,0,0,0.0
HK_1204_HK_2022,1204.HK,博维智慧,2022-07-15,main_board_profitable,1,22.22,1.03,0.1069833333333333,0.4,0.35,0.2358333333333333,SKIP,0.0,-0.0573770491803279,-0.180327868852459,0.0983606557377049,False,False,2022,1.0,0,0,0,0.0
HK_2237_HK_2022,2237.HK,中国石墨,2022-07-18,main_board_profitable,0,0.0,1.06,0.0,0.4,0.0,0.2358333333333333,SKIP,-0.354430379746835,0.7341772151898731,0.1645569620253159,0.848101265822785,False,False,2022,,0,0,0,0.0
HK_9857_HK_2022,9857.HK,柠萌影视,2022-08-10,main_board_profitable,2,46.7,1.38,0.1069833333333333,0.4,0.35,0.2358333333333333,SKIP,0.0277777777777778,-0.0574074074074073,-0.0888888888888888,-0.525925925925926,False,False,2022,2.0,0,0,0,0.0
HK_2562_HK_2022,2562.HK,狮腾控股,2022-08-15,main_board_profitable,0,0.0,0.0,0.0,0.5647930777164033,0.0,0.2358333333333333,SKIP,-0.12,-0.26,-0.26,-0.0539999999999998,False,False,2022,,0,0,0,0.0
HK_2321_HK_2022,2321.HK,双财庄,2022-08-19,main_board_profitable,4,34.82,2.1,0.1997866820173129,0.6536096467305765,0.4,0.2358333333333333,SKIP,0.151898734177215,0.417721518987342,1.25316455696203,-0.506329113924051,False,False,2022,4.0,0,0,0,0.0
HK_2152_HK_2022,2152.HK,苏新服务,2022-08-24,main_board_profitable,3,20.1,1.2,0.1222666666666666,0.4,0.4,0.2358333333333333,SKIP,0.0,-0.30151338766007,-0.275902211874272,-0.0814901047729918,False,False,2022,3.0,0,0,0,0.0
HK_9886_HK_2022,9886.HK,叮当健康,2022-09-14,main_board_profitable,3,74.09,1.7,0.2220870000643673,0.559924843087101,0.5190453577401143,0.2358333333333333,SKIP,0.0033333333333332,-0.0016666666666666,0.0483333333333333,-0.775,False,False,2022,3.0,0,0,0,0.0
HK_2350_HK_2022,2350.HK,数科集团,2022-09-26,main_board_profitable,5,24.8,1.1,0.197456334790205,0.4,0.6459858281031791,0.2358333333333333,SKIP,-0.096774193548387,-0.241935483870968,-0.379032258064516,-0.467741935483871,False,False,2022,5.0,0,0,0,0.0
HK_2602_HK_2022,2602.HK,万物云,2022-09-29,main_board_profitable,7,37.57,3.3,0.2800567487868821,0.5508540677408866,0.6653059267765602,0.2358333333333333,RELATIONSHIP,-0.0521739130434782,-0.153260869565217,0.0630434782608694,-0.411006415756572,False,False,2022,7.0,2,0,2,0.2857142857142857
HK_9863_HK_2022,9863.HK,零跑汽车,2022-09-29,main_board_profitable,5,37.6,2.33,0.3182885297672252,0.7088540131279055,0.587592300088417,0.2358333333333333,RELATIONSHIP,-0.22257053291536,-0.3605015673981189,-0.136363636363636,0.307210031347963,False,False,2022,5.0,0,0,0,0.0
HK_3931_HK_2022,3931.HK,中创新航,2022-10-06,main_board_profitable,15,56.13,2.11,0.3378944430072397,0.6081855912943129,0.7270375350004934,0.2358333333333333,RELATIONSHIP,-0.0263157894736842,-0.392105263157895,-0.473684210526316,-0.482105263157895,False,False,2022,15.0,0,0,0,0.0
HK_6660_HK_2022,6660.HK,艾美疫苗,2022-10-06,main_board_profitable,0,0.0,3.27,0.0,0.5808268893163343,0.0,0.2358333333333333,SKIP,0.0060024009603842,0.518607442977191,0.41656662665066,1.68007202881152,False,False,2022,,0,0,0,0.0
HK_1489_HK_2022,1489.HK,GC CONSTRUCTION,2022-10-10,main_board_profitable,2,16.0,1.04,0.1222666666666666,0.4,0.4,0.2358333333333333,SKIP,-0.0727272727272728,-0.0181818181818182,-0.0181818181818182,-0.090909090909091,False,False,2022,2.0,0,0,0,0.0
HK_2422_HK_2022,2422.HK,润歌互动,2022-10-17,main_board_profitable,1,9.3744,1.37,0.1069833333333333,0.4,0.35,0.2358333333333333,SKIP,0.511111111111111,1.17037037037037,0.777777777777778,-0.437037037037037,False,False,2022,1.0,0,0,0,0.0
HK_6610_HK_2022,6610.HK,飞天云动,2022-10-18,main_board_profitable,5,30.33,1.07,0.1222666666666666,0.4,0.4,0.2358333333333333,SKIP,0.080188679245283,1.3113207547169798,0.9056603773584908,-0.165094339622642,False,False,2022,5.0,3,0,3,0.6
HK_2367_HK_2022,2367.HK,巨子生物,2022-11-04,main_board_profitable,0,0.0,4.22,0.0,0.7594693066929638,0.0,0.2358333333333333,SKIP,0.250936329588015,0.192883895131086,0.666666666666667,0.310861423220974,False,False,2022,,0,0,0,0.0
HK_2291_HK_2022,2291.HK,心泰医疗,2022-11-08,main_board_profitable,3,29.73,1.38,0.2215079092673308,0.4,0.7246714588898499,0.2358333333333333,SKIP,-0.0548885077186963,-0.0017152658662091,-0.0154373927958833,-0.0445969125214407,False,False,2022,3.0,0,0,0,0.0
