concept_id,concept_name,n_ipo_hits,block_total_size
011007_308816,医美概念[HK],0,14
011007_308817,电影概念[HK],0,5
011007_308823,幽门螺杆菌[HK],0,7
011007_308824,CXO概念[HK],0,9
011007_308844,辅助生殖[HK],0,9
011007_308847,数据中心[HK],2,33
011007_308856,土壤修复[HK],0,9
011007_308857,氢能源[HK],3,20
011007_308863,金属镍[HK],1,8
011007_308865,金属铅[HK],0,8
011007_308866,金属锌[HK],0,7
011007_308897,网络直播[HK],0,13
011007_308900,高股息概念[HK],1,28
011007_308902,京东概念[HK],0,6
011007_308908,充电桩概念股[HK],1,18
011007_308916,香港概念[HK],0,29
011007_308919,香港银行股[[HK],0,5
011007_308921,消费电子[HK],0,23
011007_308924,基础建设[HK],0,48
011007_308925,食品添加剂[HK],0,11
011007_308927,肝炎概念[HK],0,18
011007_308928,抖音概念(字节概念)[HK],1,14
011007_308938,NFT概念[HK],1,10
011007_308939,数字经济[HK],3,16
011007_308958,房地产服务[HK],2,9
011007_308959,汽车零售[HK],0,17
011007_308971,超超临界发电[HK],0,8
011007_308973,宁德时代概念[HK],1,9
011007_308974,比亚迪概念[HK],4,16
011007_308975,蚂蚁集团概念[HK],0,8
011007_308978,F5G概念[HK],0,9
011007_308981,质子交换膜[HK],0,4
011007_308982,汽车热管理[HK],0,6
011007_308985,一体化压铸[HK],0,4
011007_308990,生物质能发电[HK],0,12
011007_308993,钙钛矿电池[HK],0,6
011007_308997,玩具及消闲用品[HK],1,23
011007_309001,香港房地产[HK],0,78
011007_309018,双重主要上市中概股[HK],4,10
011007_309019,牙科医疗[HK],1,7
011007_309039,熊去氧胆酸[HK],0,5
011007_309043,SPAC特殊目的收购公司[HK],0,0
011007_309047,AIGC概念[HK],4,11
011007_309171,半导体概念[HK],1,12
011007_309172,机器人概念[HK],8,33
011007_309173,商业航天[HK],0,9
011007_309175,IP经济(谷子经济)[HK],4,9
011007_309176,固态电池[HK],4,10
011007_309178,脑机接口[HK],2,4
011007_309186,DeepSeek概念[HK],9,42
